Date,Time,Tenor,Rate(%)
30-Sep-24,5:30:00 PM,12 Months,6.55
27-Sep-24,5:30:00 PM,12 Months,6.56
26-Sep-24,5:30:00 PM,12 Months,6.55
25-Sep-24,5:30:00 PM,12 Months,6.54
24-Sep-24,5:30:00 PM,12 Months,6.55
23-Sep-24,5:30:00 PM,12 Months,6.57
20-Sep-24,5:30:00 PM,12 Months,6.59
19-Sep-24,5:30:00 PM,12 Months,6.55
17-Sep-24,5:30:00 PM,12 Months,6.55
16-Sep-24,5:30:00 PM,12 Months,6.61
13-Sep-24,5:30:00 PM,12 Months,6.64
12-Sep-24,5:30:00 PM,12 Months,6.69
11-Sep-24,5:30:00 PM,12 Months,6.7
10-Sep-24,5:30:00 PM,12 Months,6.7
9-Sep-24,5:30:00 PM,12 Months,6.74
6-Sep-24,5:30:00 PM,12 Months,6.72
5-Sep-24,5:30:00 PM,12 Months,6.71
4-Sep-24,5:30:00 PM,12 Months,6.71
3-Sep-24,5:30:00 PM,12 Months,6.72
2-Sep-24,5:30:00 PM,12 Months,6.68
30-Aug-24,5:30:00 PM,12 Months,6.72
29-Aug-24,5:30:00 PM,12 Months,6.7
28-Aug-24,5:30:00 PM,12 Months,6.72
27-Aug-24,5:30:00 PM,12 Months,6.7
26-Aug-24,5:30:00 PM,12 Months,6.71
23-Aug-24,5:30:00 PM,12 Months,6.71
22-Aug-24,5:30:00 PM,12 Months,6.71
21-Aug-24,5:30:00 PM,12 Months,6.72
20-Aug-24,5:30:00 PM,12 Months,6.71
19-Aug-24,5:30:00 PM,12 Months,6.72
16-Aug-24,5:30:00 PM,12 Months,6.72
14-Aug-24,5:30:00 PM,12 Months,6.72
13-Aug-24,5:30:00 PM,12 Months,6.72
12-Aug-24,5:30:00 PM,12 Months,6.73
9-Aug-24,5:30:00 PM,12 Months,6.73
8-Aug-24,5:30:00 PM,12 Months,6.73
7-Aug-24,5:30:00 PM,12 Months,6.73
6-Aug-24,5:30:00 PM,12 Months,6.73
5-Aug-24,5:30:00 PM,12 Months,6.74
2-Aug-24,5:30:00 PM,12 Months,6.76
1-Aug-24,5:30:00 PM,12 Months,6.77
31-Jul-24,5:30:00 PM,12 Months,6.79
30-Jul-24,5:30:00 PM,12 Months,6.78
29-Jul-24,5:30:00 PM,12 Months,6.79
26-Jul-24,5:30:00 PM,12 Months,6.78
25-Jul-24,5:30:00 PM,12 Months,6.8
24-Jul-24,5:30:00 PM,12 Months,6.83
23-Jul-24,5:30:00 PM,12 Months,6.83
22-Jul-24,5:30:00 PM,12 Months,6.84
19-Jul-24,5:30:00 PM,12 Months,6.85
18-Jul-24,5:30:00 PM,12 Months,6.86
16-Jul-24,5:30:00 PM,12 Months,6.87
15-Jul-24,6:15:00 PM,12 Months,6.86
12-Jul-24,5:30:00 PM,12 Months,6.92
11-Jul-24,5:30:00 PM,12 Months,6.9
10-Jul-24,5:30:00 PM,12 Months,6.91
9-Jul-24,5:30:00 PM,12 Months,6.9
8-Jul-24,5:30:00 PM,12 Months,6.91
5-Jul-24,5:30:00 PM,12 Months,6.92
4-Jul-24,5:38:00 PM,12 Months,6.93
3-Jul-24,5:30:00 PM,12 Months,6.94
2-Jul-24,5:30:00 PM,12 Months,6.93
1-Jul-24,5:30:00 PM,12 Months,6.93
28-Jun-24,5:30:00 PM,12 Months,6.93
27-Jun-24,5:30:00 PM,12 Months,6.94
26-Jun-24,5:30:00 PM,12 Months,6.95
25-Jun-24,5:30:00 PM,12 Months,6.95
24-Jun-24,5:30:00 PM,12 Months,6.93
21-Jun-24,5:30:00 PM,12 Months,6.97
20-Jun-24,5:30:00 PM,12 Months,6.96
19-Jun-24,5:30:00 PM,12 Months,6.98
18-Jun-24,5:30:00 PM,12 Months,6.96
14-Jun-24,5:30:00 PM,12 Months,6.98
13-Jun-24,5:30:00 PM,12 Months,6.98
12-Jun-24,5:30:00 PM,12 Months,7.01
11-Jun-24,5:30:00 PM,12 Months,7
10-Jun-24,5:30:00 PM,12 Months,7.02
7-Jun-24,5:30:00 PM,12 Months,7.01
6-Jun-24,5:30:00 PM,12 Months,7.01
5-Jun-24,5:30:00 PM,12 Months,7.02
4-Jun-24,5:30:00 PM,12 Months,7.04
3-Jun-24,5:30:00 PM,12 Months,7
31-May-24,5:30:00 PM,12 Months,7.02
30-May-24,5:30:00 PM,12 Months,7.02
29-May-24,5:30:00 PM,12 Months,7.03
28-May-24,5:30:00 PM,12 Months,7.02
27-May-24,5:30:00 PM,12 Months,7.02
24-May-24,5:30:00 PM,12 Months,7
22-May-24,5:30:00 PM,12 Months,7.01
21-May-24,5:30:00 PM,12 Months,7
17-May-24,5:30:00 PM,12 Months,7.05
16-May-24,5:30:00 PM,12 Months,7.05
15-May-24,5:30:00 PM,12 Months,7.07
14-May-24,5:30:00 PM,12 Months,7.04
13-May-24,5:30:00 PM,12 Months,7.03
10-May-24,5:30:00 PM,12 Months,7.04
9-May-24,5:30:00 PM,12 Months,7.05
8-May-24,5:30:00 PM,12 Months,7.08
7-May-24,5:30:00 PM,12 Months,7.05
6-May-24,5:30:00 PM,12 Months,7.05
3-May-24,5:30:00 PM,12 Months,7.06
2-May-24,5:30:00 PM,12 Months,7.07
30-Apr-24,5:30:00 PM,12 Months,7.06
29-Apr-24,5:30:00 PM,12 Months,7.06
26-Apr-24,5:30:00 PM,12 Months,7.06
25-Apr-24,5:30:00 PM,12 Months,7.06
24-Apr-24,5:30:00 PM,12 Months,7.06
23-Apr-24,5:30:00 PM,12 Months,7.04
22-Apr-24,5:30:00 PM,12 Months,7.04
19-Apr-24,5:30:00 PM,12 Months,7.04
18-Apr-24,5:30:00 PM,12 Months,7.05
16-Apr-24,5:30:00 PM,12 Months,7.03
15-Apr-24,5:30:00 PM,12 Months,7.02
12-Apr-24,5:30:00 PM,12 Months,7.02
10-Apr-24,5:30:00 PM,12 Months,7.03
8-Apr-24,5:30:00 PM,12 Months,7.01
5-Apr-24,5:30:00 PM,12 Months,7
4-Apr-24,5:30:00 PM,12 Months,7.01
3-Apr-24,5:30:00 PM,12 Months,7.02
2-Apr-24,5:30:00 PM,12 Months,6.98
28-Mar-24,5:30:00 PM,12 Months,6.99
27-Mar-24,5:30:00 PM,12 Months,7.08
26-Mar-24,5:30:00 PM,12 Months,7.07
22-Mar-24,5:30:00 PM,12 Months,7.07
21-Mar-24,5:30:00 PM,12 Months,7.07
20-Mar-24,5:30:00 PM,12 Months,7.07
19-Mar-24,5:30:00 PM,12 Months,7.07
18-Mar-24,5:30:00 PM,12 Months,7.08
15-Mar-24,5:30:00 PM,12 Months,7.08
14-Mar-24,5:30:00 PM,12 Months,7.08
13-Mar-24,5:30:00 PM,12 Months,7.09
12-Mar-24,5:30:00 PM,12 Months,7.04
11-Mar-24,5:30:00 PM,12 Months,7.06
7-Mar-24,5:30:00 PM,12 Months,7.08
6-Mar-24,5:30:00 PM,12 Months,7.1
5-Mar-24,5:30:00 PM,12 Months,7.1
4-Mar-24,5:30:00 PM,12 Months,7.09
1-Mar-24,5:30:00 PM,12 Months,7.08
29-Feb-24,5:30:00 PM,12 Months,7.11
28-Feb-24,5:30:00 PM,12 Months,7.11
27-Feb-24,5:30:00 PM,12 Months,7.12
26-Feb-24,5:30:00 PM,12 Months,7.11
23-Feb-24,5:30:00 PM,12 Months,7.13
22-Feb-24,5:30:00 PM,12 Months,7.12
21-Feb-24,5:30:00 PM,12 Months,7.13
20-Feb-24,5:30:00 PM,12 Months,7.1
16-Feb-24,5:30:00 PM,12 Months,7.14
15-Feb-24,5:30:00 PM,12 Months,7.11
14-Feb-24,5:30:00 PM,12 Months,7.14
13-Feb-24,5:30:00 PM,12 Months,7.12
12-Feb-24,5:30:00 PM,12 Months,7.11
9-Feb-24,5:30:00 PM,12 Months,7.12
8-Feb-24,5:30:00 PM,12 Months,7.09
7-Feb-24,5:30:00 PM,12 Months,7.11
6-Feb-24,5:30:00 PM,12 Months,7.13
5-Feb-24,5:30:00 PM,12 Months,7.13
2-Feb-24,5:30:00 PM,12 Months,7.11
1-Feb-24,5:30:00 PM,12 Months,7.09
31-Jan-24,5:30:00 PM,12 Months,7.15
30-Jan-24,5:30:00 PM,12 Months,7.13
29-Jan-24,5:30:00 PM,12 Months,7.14
25-Jan-24,5:30:00 PM,12 Months,7.15
24-Jan-24,5:30:00 PM,12 Months,7.16
23-Jan-24,5:30:00 PM,12 Months,7.14
19-Jan-24,5:30:00 PM,12 Months,7.12
18-Jan-24,5:30:00 PM,12 Months,7.15
17-Jan-24,5:30:00 PM,12 Months,7.15
16-Jan-24,5:30:00 PM,12 Months,7.11
15-Jan-24,6:45:00 PM,12 Months,7.12
12-Jan-24,5:30:00 PM,12 Months,7.13
11-Jan-24,5:30:00 PM,12 Months,7.13
10-Jan-24,5:30:00 PM,12 Months,7.13
9-Jan-24,5:30:00 PM,12 Months,7.13
