Date,Close Price
30-Jun-2022,897.5
01-Jul-2022,912.9
04-Jul-2022,918.5
05-Jul-2022,928.1
06-Jul-2022,944.05
07-Jul-2022,956.3
08-Jul-2022,976.95
11-Jul-2022,985.85
12-Jul-2022,969.6
13-Jul-2022,974.85
14-Jul-2022,990.5
15-Jul-2022,989.55
18-Jul-2022,998.05
19-Jul-2022,1010.9
20-Jul-2022,1014.8
21-Jul-2022,1006.45
22-Jul-2022,987.25
25-Jul-2022,966.15
26-Jul-2022,984.4
27-Jul-2022,985.9
28-Jul-2022,995.3
29-Jul-2022,1000.25
01-Aug-2022,997.7
02-Aug-2022,990.05
03-Aug-2022,977.95
04-Aug-2022,1024.95
05-Aug-2022,1012.45
08-Aug-2022,1012.75
10-Aug-2022,991.5
11-Aug-2022,1016.3
12-Aug-2022,928.05
16-Aug-2022,925.95
17-Aug-2022,919.85
18-Aug-2022,924.95
19-Aug-2022,919.85
22-Aug-2022,903.1
23-Aug-2022,922.65
24-Aug-2022,922.1
25-Aug-2022,914.8
26-Aug-2022,909.9
29-Aug-2022,900.1
30-Aug-2022,905.2
01-Sep-2022,899.6
02-Sep-2022,889.85
05-Sep-2022,886.35
06-Sep-2022,882.9
07-Sep-2022,879.45
08-Sep-2022,870.15
09-Sep-2022,872.2
12-Sep-2022,875.0
13-Sep-2022,898.1
14-Sep-2022,878.4
15-Sep-2022,875.25
16-Sep-2022,861.1
19-Sep-2022,858.45
20-Sep-2022,871.45
21-Sep-2022,866.65
22-Sep-2022,878.3
23-Sep-2022,873.95
26-Sep-2022,891.85
27-Sep-2022,904.95
28-Sep-2022,895.6
29-Sep-2022,909.4
30-Sep-2022,915.0
03-Oct-2022,915.0
03-Oct-2022,934.5
04-Oct-2022,932.15
06-Oct-2022,919.7
07-Oct-2022,918.95
10-Oct-2022,912.05
11-Oct-2022,897.55
12-Oct-2022,891.75
13-Oct-2022,888.55
14-Oct-2022,889.45
17-Oct-2022,893.05
18-Oct-2022,897.85
19-Oct-2022,895.9
20-Oct-2022,907.35
21-Oct-2022,903.85
24-Oct-2022,900.35
25-Oct-2022,936.1
27-Oct-2022,930.75
28-Oct-2022,901.2
31-Oct-2022,905.1
01-Nov-2022,924.65
02-Nov-2022,927.15
03-Nov-2022,927.15
03-Nov-2022,908.4
04-Nov-2022,904.95
07-Nov-2022,905.0
09-Nov-2022,891.65
