Date,Close Price
30-Jun-2022,125.55
01-Jul-2022,127.05
04-Jul-2022,128.2
05-Jul-2022,129.7
06-Jul-2022,129.15
07-Jul-2022,129.15
08-Jul-2022,132.25
11-Jul-2022,133.15
12-Jul-2022,131.4
13-Jul-2022,131.65
14-Jul-2022,122.95
15-Jul-2022,122.25
18-Jul-2022,121.95
19-Jul-2022,124.35
20-Jul-2022,122.5
21-Jul-2022,121.15
22-Jul-2022,120.5
25-Jul-2022,121.1
26-Jul-2022,122.75
27-Jul-2022,122.95
28-Jul-2022,123.85
29-Jul-2022,124.65
01-Aug-2022,129.0
02-Aug-2022,129.7
03-Aug-2022,127.9
04-Aug-2022,139.55
05-Aug-2022,144.8
08-Aug-2022,144.85
10-Aug-2022,141.7
11-Aug-2022,144.9
12-Aug-2022,147.35
16-Aug-2022,144.8
17-Aug-2022,146.35
18-Aug-2022,147.15
19-Aug-2022,147.4
22-Aug-2022,146.15
23-Aug-2022,152.1
24-Aug-2022,149.0
25-Aug-2022,149.45
26-Aug-2022,152.0
29-Aug-2022,149.05
30-Aug-2022,150.75
01-Sep-2022,149.05
02-Sep-2022,147.45
05-Sep-2022,150.0
06-Sep-2022,153.85
07-Sep-2022,153.3
08-Sep-2022,151.6
09-Sep-2022,151.5
12-Sep-2022,150.15
13-Sep-2022,149.2
14-Sep-2022,151.7
15-Sep-2022,157.2
16-Sep-2022,153.25
19-Sep-2022,152.35
20-Sep-2022,152.5
21-Sep-2022,148.35
22-Sep-2022,145.2
23-Sep-2022,143.8
26-Sep-2022,138.6
27-Sep-2022,142.5
28-Sep-2022,139.9
29-Sep-2022,137.95
30-Sep-2022,139.2
03-Oct-2022,139.2
03-Oct-2022,141.1
04-Oct-2022,144.65
06-Oct-2022,145.45
07-Oct-2022,144.15
10-Oct-2022,140.95
11-Oct-2022,136.8
12-Oct-2022,135.9
13-Oct-2022,136.25
14-Oct-2022,138.1
17-Oct-2022,138.1
17-Oct-2022,137.25
18-Oct-2022,138.75
19-Oct-2022,138.25
20-Oct-2022,136.25
21-Oct-2022,138.1
24-Oct-2022,140.55
25-Oct-2022,137.3
27-Oct-2022,135.85
28-Oct-2022,135.7
31-Oct-2022,136.7
01-Nov-2022,137.35
02-Nov-2022,147.9
03-Nov-2022,157.2
04-Nov-2022,158.15
07-Nov-2022,159.3
09-Nov-2022,154.2
10-Nov-2022,150.15
11-Nov-2022,150.25
14-Nov-2022,158.05
15-Nov-2022,159.4
16-Nov-2022,164.05
17-Nov-2022,164.35
18-Nov-2022,169.7
21-Nov-2022,167.65
22-Nov-2022,167.3
23-Nov-2022,165.55
24-Nov-2022,176.2
25-Nov-2022,178.3
28-Nov-2022,183.7
29-Nov-2022,178.0
30-Nov-2022,179.55
01-Dec-2022,179.75
02-Dec-2022,178.0
05-Dec-2022,180.1
06-Dec-2022,185.05
07-Dec-2022,186.5
08-Dec-2022,191.3
09-Dec-2022,188.65
12-Dec-2022,199.4
13-Dec-2022,192.0
14-Dec-2022,185.75
15-Dec-2022,185.5
16-Dec-2022,186.3
19-Dec-2022,188.8
20-Dec-2022,185.65
21-Dec-2022,183.4
22-Dec-2022,183.5
23-Dec-2022,170.9
26-Dec-2022,182.15
27-Dec-2022,180.7
28-Dec-2022,180.25
29-Dec-2022,181.55
30-Dec-2022,180.8
02-Jan-2023,187.7
03-Jan-2023,190.2
04-Jan-2023,186.65
05-Jan-2023,188.1
06-Jan-2023,182.55
09-Jan-2023,185.35
10-Jan-2023,180.55
11-Jan-2023,180.85
12-Jan-2023,182.35
13-Jan-2023,181.65
16-Jan-2023,179.95
17-Jan-2023,186.1
18-Jan-2023,190.95
19-Jan-2023,189.8
20-Jan-2023,186.6
23-Jan-2023,188.6
24-Jan-2023,181.6
25-Jan-2023,180.3
27-Jan-2023,177.7
30-Jan-2023,176.85
31-Jan-2023,184.9
01-Feb-2023,182.65
02-Feb-2023,183.6
03-Feb-2023,184.8
06-Feb-2023,185.5
07-Feb-2023,183.75
08-Feb-2023,183.85
09-Feb-2023,181.25
10-Feb-2023,181.05
13-Feb-2023,179.15
14-Feb-2023,179.5
15-Feb-2023,176.8
16-Feb-2023,180.15
17-Feb-2023,179.85
20-Feb-2023,178.95
21-Feb-2023,177.65
22-Feb-2023,169.6
23-Feb-2023,172.1
24-Feb-2023,176.6
27-Feb-2023,169.85
28-Feb-2023,170.4
01-Mar-2023,169.85
02-Mar-2023,167.6
03-Mar-2023,169.9
06-Mar-2023,172.3
08-Mar-2023,172.2
09-Mar-2023,171.05
10-Mar-2023,168.85
13-Mar-2023,165.4
14-Mar-2023,161.05
15-Mar-2023,164.2
16-Mar-2023,162.3
17-Mar-2023,161.6
20-Mar-2023,160.7
21-Mar-2023,161.75
22-Mar-2023,166.7
23-Mar-2023,169.35
24-Mar-2023,170.85
27-Mar-2023,165.95
28-Mar-2023,164.55
29-Mar-2023,169.25
31-Mar-2023,166.65
03-Apr-2023,168.9
05-Apr-2023,169.9
06-Apr-2023,171.15
10-Apr-2023,175.0
11-Apr-2023,177.9
12-Apr-2023,177.6
13-Apr-2023,174.85
17-Apr-2023,168.3
18-Apr-2023,172.4
19-Apr-2023,168.65
20-Apr-2023,168.05
21-Apr-2023,169.25
24-Apr-2023,169.55
25-Apr-2023,169.0
