,Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
0,30-JUN-2022,15774.5,15890.0,15728.85,15780.25,306027777.0,23970.65
1,01-JUL-2022,15703.7,15793.95,15511.05,15752.05,364090131.0,25891.94
2,04-JUL-2022,15710.5,15852.35,15661.8,15835.35,304328467.0,19875.22
3,05-JUL-2022,15909.15,16025.75,15785.45,15810.85,254164463.0,19129.6
4,06-JUL-2022,15818.2,16011.35,15800.9,15989.8,288375300.0,22836.77
5,07-JUL-2022,16113.75,16150.5,16045.95,16132.9,264615218.0,21465.33
6,08-JUL-2022,16273.65,16275.5,16157.9,16220.6,281102369.0,20990.69
7,11-JUL-2022,16136.15,16248.55,16115.5,16216.0,255915072.0,20240.69
8,12-JUL-2022,16126.2,16158.75,16031.15,16058.3,208648707.0,16042.52
9,13-JUL-2022,16128.2,16140.0,15950.15,15966.65,233264100.0,19649.66
10,14-JUL-2022,16018.85,16070.85,15858.2,15938.65,228603433.0,18858.83
11,15-JUL-2022,16010.8,16066.95,15927.3,16049.2,205768079.0,17031.43
12,18-JUL-2022,16151.4,16287.95,16142.2,16278.5,227744850.0,19420.93
13,19-JUL-2022,16187.05,16359.5,16187.05,16340.55,222630928.0,18068.59
14,20-JUL-2022,16562.8,16588.0,16490.95,16520.85,284359582.0,22061.81
15,21-JUL-2022,16523.55,16626.95,16483.9,16605.25,243625339.0,20603.17
16,22-JUL-2022,16661.25,16752.25,16610.9,16719.45,190906776.0,18600.11
17,25-JUL-2022,16662.55,16706.05,16564.25,16631.0,211392171.0,19384.43
18,26-JUL-2022,16632.9,16636.1,16463.3,16483.85,208208122.0,20087.54
19,27-JUL-2022,16475.35,16653.45,16438.75,16641.8,185210970.0,17608.03
20,28-JUL-2022,16774.85,16947.65,16746.25,16929.6,376256315.0,26674.28
21,29-JUL-2022,17079.5,17172.8,17018.15,17158.25,436059722.0,28241.29
22,01-AUG-2022,17243.2,17356.25,17154.8,17340.05,381532671.0,23221.04
23,02-AUG-2022,17310.15,17390.15,17215.85,17345.45,333639093.0,22576.94
24,03-AUG-2022,17349.25,17407.5,17225.85,17388.15,285414666.0,20842.13
25,04-AUG-2022,17463.1,17490.7,17161.25,17382.0,324981426.0,21848.21
26,05-AUG-2022,17423.65,17474.4,17348.75,17397.5,355310802.0,20013.14
27,08-AUG-2022,17401.5,17548.8,17359.75,17525.1,256994113.0,18475.21
28,10-AUG-2022,17566.1,17566.1,17442.8,17534.75,312716544.0,21952.35
29,11-AUG-2022,17711.65,17719.3,17631.95,17659.0,311247237.0,20476.53
30,12-AUG-2022,17659.65,17724.65,17597.85,17698.15,303872483.0,18422.47
31,16-AUG-2022,17797.2,17839.1,17764.05,17825.25,278042725.0,18495.27
32,17-AUG-2022,17868.15,17965.95,17833.35,17944.25,262768582.0,21209.54
33,18-AUG-2022,17898.65,17968.45,17852.05,17956.5,263914197.0,18441.68
34,19-AUG-2022,17966.55,17992.2,17710.75,17758.45,295627263.0,21531.99
35,22-AUG-2022,17682.9,17690.05,17467.35,17490.7,287559133.0,19605.44
36,23-AUG-2022,17357.35,17625.55,17345.2,17577.5,285616338.0,20365.8
37,24-AUG-2022,17525.45,17623.65,17499.25,17604.95,261953239.0,17819.88
38,25-AUG-2022,17679.0,17726.5,17487.45,17522.45,230181848.0,17566.7
39,26-AUG-2022,17619.3,17685.85,17519.35,17558.9,266636238.0,17500.8
40,29-AUG-2022,17188.65,17380.15,17166.2,17312.9,244854637.0,19351.5
41,30-AUG-2022,17414.95,17777.65,17401.5,17759.3,324687477.0,26284.26
42,01-SEP-2022,17485.7,17695.6,17468.45,17542.8,308526598.0,26813.95
43,02-SEP-2022,17598.4,17643.85,17476.45,17539.45,256268616.0,19548.88
44,05-SEP-2022,17546.45,17683.15,17540.35,17665.8,230309013.0,17011.26
45,06-SEP-2022,17695.7,17764.65,17587.65,17655.6,251204527.0,17521.09
46,07-SEP-2022,17519.4,17650.75,17484.3,17624.4,354137885.0,25419.5
47,08-SEP-2022,17748.15,17807.65,17691.95,17798.75,279845682.0,19925.25
48,09-SEP-2022,17923.35,17925.95,17786.0,17833.35,270299618.0,20564.06
49,12-SEP-2022,17890.85,17980.55,17889.15,17936.35,228242025.0,17648.17
50,13-SEP-2022,18044.45,18088.3,18015.45,18070.05,259922741.0,21039.08
51,14-SEP-2022,17771.15,18091.55,17771.15,18003.75,365866933.0,26611.96
52,15-SEP-2022,18046.35,18096.15,17861.5,17877.4,289637528.0,22007.78
53,16-SEP-2022,17796.8,17820.05,17497.25,17530.85,468464263.0,36013.89
54,19-SEP-2022,17540.65,17667.2,17429.7,17622.25,258329581.0,19548.99
55,20-SEP-2022,17770.4,17919.3,17744.4,17816.25,263100874.0,20456.69
56,21-SEP-2022,17766.35,17838.7,17663.6,17718.35,245532498.0,19816.78
57,22-SEP-2022,17609.65,17722.75,17532.45,17629.8,284094023.0,21303.96
58,23-SEP-2022,17593.85,17642.15,17291.65,17327.35,390754862.0,23750.53
59,26-SEP-2022,17156.3,17196.4,16978.3,17016.3,492002942.0,27533.01
60,27-SEP-2022,17110.9,17176.45,16942.35,17007.4,359895458.0,22712.8
61,28-SEP-2022,16870.55,17037.6,16820.4,16858.6,323922457.0,21400.93
62,29-SEP-2022,16993.6,17026.05,16788.6,16818.1,340034380.0,24758.63
63,30-SEP-2022,16798.05,17187.1,16747.7,17094.35,380204763.0,26205.63
64,03-OCT-2022,17102.1,17114.65,16855.55,16887.35,285850587.0,21860.54
65,04-OCT-2022,17147.45,17287.3,17117.3,17274.3,231601639.0,18480.43
66,06-OCT-2022,17379.25,17428.8,17315.65,17331.8,268239320.0,20404.46
67,07-OCT-2022,17287.2,17337.35,17216.95,17314.65,216273136.0,17043.26
68,10-OCT-2022,17094.35,17280.15,17064.7,17241.0,234005512.0,16220.67
69,11-OCT-2022,17256.05,17261.8,16950.3,16983.55,282617982.0,22178.37
70,12-OCT-2022,17025.55,17142.35,16960.05,17123.6,256037322.0,18098.41
71,13-OCT-2022,17087.35,17112.35,16956.95,17014.35,266438674.0,18189.64
