"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"LATENTVIEW","EQ","30-Jun-2022","337.15","339.30","342.30","331.60","333.20","333.95","337.85","2,31,369","7,81,68,704.90","7,745","75,041","32.43"
"LATENTVIEW","EQ","01-Jul-2022","333.95","332.00","336.80","330.30","335.15","334.50","333.91","2,12,311","7,08,92,403.75","6,290","69,814","32.88"
"LATENTVIEW","EQ","04-Jul-2022","334.50","336.00","353.00","335.60","339.20","339.05","339.90","2,20,149","7,48,27,921.30","9,114","60,220","27.35"
"LATENTVIEW","EQ","05-Jul-2022","339.05","339.30","351.95","338.45","340.60","340.05","344.78","3,56,661","12,29,69,277.20","12,656","1,06,370","29.82"
"LATENTVIEW","EQ","06-Jul-2022","340.05","341.00","343.90","335.15","342.30","341.75","340.44","1,85,978","6,33,14,564.25","8,438","57,442","30.89"
"LATENTVIEW","EQ","07-Jul-2022","341.75","345.00","357.90","345.00","353.40","352.80","352.27","5,60,037","19,72,83,317.95","15,139","1,38,825","24.79"
"LATENTVIEW","EQ","08-Jul-2022","352.80","356.80","368.00","353.15","365.50","365.50","362.48","5,80,000","21,02,41,179.35","18,023","1,53,495","26.46"
"LATENTVIEW","EQ","11-Jul-2022","365.50","360.00","363.30","355.50","358.00","358.05","359.41","2,60,083","9,34,75,848.25","9,485","97,731","37.58"
"LATENTVIEW","EQ","12-Jul-2022","358.05","354.50","361.85","351.15","352.40","352.40","356.95","1,91,966","6,85,23,046.85","8,919","76,294","39.74"
"LATENTVIEW","EQ","13-Jul-2022","352.40","355.00","356.30","346.00","348.20","347.15","349.89","1,89,631","6,63,49,327.20","8,796","68,136","35.93"
"LATENTVIEW","EQ","14-Jul-2022","347.15","348.20","350.20","308.75","334.70","335.90","341.89","2,64,190","9,03,23,873.80","8,751","1,07,063","40.53"
"LATENTVIEW","EQ","15-Jul-2022","335.90","338.80","363.30","338.45","352.00","351.20","354.95","21,12,911","74,99,85,135.80","51,950","3,22,071","15.24"
"LATENTVIEW","EQ","18-Jul-2022","351.20","355.85","374.90","348.65","368.80","369.45","364.75","10,26,785","37,45,24,838.15","28,601","2,65,350","25.84"
"LATENTVIEW","EQ","19-Jul-2022","369.45","367.90","370.00","360.05","364.20","364.05","365.27","4,48,212","16,37,19,827.50","13,775","1,35,153","30.15"
"LATENTVIEW","EQ","20-Jul-2022","364.05","367.80","378.80","366.15","367.00","369.00","371.88","6,75,933","25,13,63,324.40","20,407","1,85,247","27.41"
"LATENTVIEW","EQ","21-Jul-2022","369.00","369.40","376.45","365.65","368.95","369.15","370.79","3,62,323","13,43,44,820.30","10,254","94,712","26.14"
"LATENTVIEW","EQ","22-Jul-2022","369.15","371.90","374.65","367.00","373.45","372.05","371.15","3,81,777","14,16,97,979.60","9,653","1,34,236","35.16"
"LATENTVIEW","EQ","25-Jul-2022","372.05","372.95","373.25","364.40","368.00","367.95","367.66","2,14,658","7,89,20,729.30","7,168","73,137","34.07"
"LATENTVIEW","EQ","26-Jul-2022","367.95","369.00","369.05","352.40","354.00","354.70","359.16","2,68,909","9,65,81,953.00","8,238","1,23,149","45.80"
"LATENTVIEW","EQ","27-Jul-2022","354.70","353.00","389.90","351.00","382.55","380.25","373.94","9,31,040","34,81,54,073.75","28,673","2,84,064","30.51"
"LATENTVIEW","EQ","28-Jul-2022","380.25","384.90","384.90","370.20","371.00","371.75","375.31","7,40,779","27,80,21,328.15","22,653","2,12,792","28.73"
"LATENTVIEW","EQ","29-Jul-2022","371.75","373.90","379.80","370.70","371.40","372.00","374.67","5,06,805","18,98,82,619.70","18,852","1,67,295","33.01"
"LATENTVIEW","EQ","01-Aug-2022","372.00","373.50","374.90","369.65","370.50","370.95","372.05","3,37,662","12,56,26,622.25","13,568","1,50,620","44.61"
