"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"MSUMI","EQ","30-Jun-2022","69.85","69.70","71.80","69.40","70.30","70.40","70.48","43,85,425","30,90,89,190.20","20,522","27,76,409","63.31"
"MSUMI","EQ","01-Jul-2022","70.40","70.65","70.65","68.95","70.05","70.05","69.56","22,03,462","15,32,66,080.55","19,129","13,86,267","62.91"
"MSUMI","EQ","04-Jul-2022","70.05","69.90","74.50","69.80","74.00","74.10","73.42","54,17,415","39,77,58,432.40","26,615","34,46,421","63.62"
"MSUMI","EQ","05-Jul-2022","74.10","74.35","77.80","74.05","75.45","75.60","75.65","94,06,058","71,15,77,467.55","40,874","56,94,075","60.54"
"MSUMI","EQ","06-Jul-2022","75.60","75.50","78.50","75.00","77.60","77.80","76.98","60,89,135","46,87,63,149.65","29,887","30,90,663","50.76"
"MSUMI","EQ","07-Jul-2022","77.80","78.55","79.40","74.40","74.80","74.85","76.66","47,19,178","36,17,83,511.05","31,430","27,22,343","57.69"
"MSUMI","EQ","08-Jul-2022","74.85","74.85","75.85","73.10","73.50","73.70","74.54","31,06,973","23,15,99,646.65","20,313","16,42,626","52.87"
"MSUMI","EQ","11-Jul-2022","73.70","72.15","79.00","72.15","78.15","77.80","75.63","60,43,447","45,70,42,520.00","30,213","38,61,162","63.89"
"MSUMI","EQ","12-Jul-2022","77.80","77.90","79.65","76.80","77.00","77.35","78.03","62,82,682","49,02,27,638.75","37,215","35,86,741","57.09"
"MSUMI","EQ","13-Jul-2022","77.35","77.60","78.25","76.70","77.50","77.35","77.40","20,55,050","15,90,66,949.60","38,746","11,68,224","56.85"
"MSUMI","EQ","14-Jul-2022","77.35","77.00","79.30","77.00","78.70","78.90","78.28","46,64,221","36,50,99,829.80","35,973","32,01,879","68.65"
"MSUMI","EQ","15-Jul-2022","78.90","79.30","81.30","79.10","79.80","79.90","80.00","53,93,530","43,14,73,249.25","24,783","39,11,900","72.53"
