"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RBLBANK","EQ","30-Jun-2022","84.30","84.45","85.75","82.35","83.30","83.45","83.35","2,55,12,433","2,12,64,70,440.35","50,536","86,95,851","34.08"
"RBLBANK","EQ","01-Jul-2022","83.45","82.95","86.70","82.10","85.95","86.20","84.66","1,62,58,460","1,37,64,04,948.90","40,686","22,56,992","13.88"
"RBLBANK","EQ","04-Jul-2022","86.20","85.90","88.65","85.50","86.70","87.55","87.37","1,59,53,371","1,39,38,71,040.70","44,777","22,94,551","14.38"
"RBLBANK","EQ","05-Jul-2022","87.55","86.80","86.80","80.85","81.60","81.50","83.65","4,00,21,680","3,34,79,96,832.25","98,899","76,55,855","19.13"
"RBLBANK","EQ","06-Jul-2022","81.50","81.90","83.75","80.35","83.50","83.40","82.27","2,45,92,592","2,02,32,43,872.20","64,808","18,71,151","7.61"
"RBLBANK","EQ","07-Jul-2022","83.40","83.95","85.90","83.75","85.50","85.50","85.06","1,62,33,819","1,38,07,87,521.05","42,159","31,10,069","19.16"
"RBLBANK","EQ","08-Jul-2022","85.50","86.40","86.60","82.40","83.80","83.70","83.71","1,63,21,336","1,36,63,16,068.05","43,026","23,31,923","14.29"
"RBLBANK","EQ","11-Jul-2022","83.70","83.05","87.20","82.50","86.70","86.85","85.72","1,83,59,492","1,57,37,68,948.60","49,696","27,75,493","15.12"
"RBLBANK","EQ","12-Jul-2022","86.85","85.80","86.60","83.85","84.00","84.15","84.95","1,20,15,623","1,02,06,78,841.55","33,093","19,28,639","16.05"
"RBLBANK","EQ","13-Jul-2022","84.15","84.95","85.05","82.90","84.00","84.20","84.09","1,27,06,737","1,06,85,32,663.30","32,644","12,56,410","9.89"
"RBLBANK","EQ","14-Jul-2022","84.20","84.00","84.45","81.50","82.20","82.20","82.43","1,18,25,942","97,48,49,840.95","33,471","18,95,131","16.03"
"RBLBANK","EQ","15-Jul-2022","82.20","82.85","83.30","80.80","81.80","81.90","81.58","1,19,70,236","97,65,53,834.45","28,683","16,22,563","13.55"
"RBLBANK","EQ","18-Jul-2022","81.90","82.80","86.20","82.40","86.00","85.90","84.97","1,50,40,425","1,27,79,53,375.40","39,973","39,66,289","26.37"
"RBLBANK","EQ","19-Jul-2022","85.90","85.25","92.30","84.80","91.20","91.40","89.48","3,20,63,717","2,86,92,19,207.25","77,450","55,85,675","17.42"
"RBLBANK","EQ","20-Jul-2022","91.40","92.10","93.15","90.25","91.05","91.45","91.68","2,23,94,149","2,05,30,50,561.35","56,232","25,69,095","11.47"
"RBLBANK","EQ","21-Jul-2022","91.45","91.65","96.30","90.85","95.00","94.95","94.51","3,24,37,387","3,06,56,44,192.60","91,820","42,35,524","13.06"
"RBLBANK","EQ","22-Jul-2022","94.95","95.40","95.40","89.40","91.75","92.20","91.79","4,44,85,013","4,08,34,66,119.95","1,01,980","82,57,460","18.56"
"RBLBANK","EQ","25-Jul-2022","92.20","91.30","95.00","90.20","94.40","94.70","93.14","2,55,66,557","2,38,11,77,944.65","58,909","43,35,178","16.96"
"RBLBANK","EQ","26-Jul-2022","94.70","94.70","95.90","91.70","92.30","92.15","93.45","1,77,13,544","1,65,53,98,086.35","39,228","25,54,079","14.42"
"RBLBANK","EQ","27-Jul-2022","92.15","92.15","92.90","91.40","91.60","91.65","91.94","94,10,512","86,51,61,809.65","25,943","12,21,388","12.98"
"RBLBANK","EQ","28-Jul-2022","91.65","92.50","93.30","91.35","92.00","92.25","92.29","1,31,57,916","1,21,42,94,312.45","30,811","31,00,242","23.56"
"RBLBANK","EQ","29-Jul-2022","92.25","93.50","93.70","91.05","92.20","92.25","92.27","1,20,07,512","1,10,78,76,420.55","30,509","21,72,983","18.10"
"RBLBANK","EQ","01-Aug-2022","92.25","92.60","97.75","91.80","96.10","96.15","95.62","2,52,78,567","2,41,71,72,767.00","69,393","54,67,419","21.63"
"RBLBANK","EQ","02-Aug-2022","96.15","95.95","100.50","94.60","98.50","98.85","98.37","2,55,68,149","2,51,50,21,864.40","69,809","47,61,422","18.62"
"RBLBANK","EQ","03-Aug-2022","98.85","99.00","99.50","95.05","96.60","96.45","96.61","1,60,12,653","1,54,69,19,563.35","42,618","26,14,820","16.33"
"RBLBANK","EQ","04-Aug-2022","96.45","97.50","98.75","94.05","95.95","96.20","96.33","1,47,63,605","1,42,21,91,812.85","37,191","21,66,841","14.68"
"RBLBANK","EQ","05-Aug-2022","96.20","96.25","98.45","95.60","96.60","96.40","97.09","1,36,60,725","1,32,62,96,062.05","34,363","23,04,128","16.87"
