"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"IPCALAB","EQ","30-Jun-2023","746.00","746.00","754.20","741.00","745.20","742.85","746.63","2,44,220","18,23,41,184.70","8,926","92,842","38.02"
"IPCALAB","EQ","03-Jul-2023","742.85","741.00","748.65","737.50","748.00","746.70","744.22","4,18,140","31,11,87,364.25","17,599","1,72,804","41.33"
"IPCALAB","EQ","04-Jul-2023","746.70","750.00","755.70","744.00","745.00","746.05","748.66","2,70,282","20,23,48,638.70","11,986","78,750","29.14"
"IPCALAB","EQ","05-Jul-2023","746.05","747.00","753.90","743.05","750.00","750.10","749.82","2,15,627","16,16,82,264.85","11,288","71,111","32.98"
"IPCALAB","EQ","06-Jul-2023","750.10","750.00","761.70","747.50","760.20","760.05","757.61","4,34,971","32,95,38,932.10","15,045","1,79,083","41.17"
"IPCALAB","EQ","07-Jul-2023","760.05","759.95","765.90","754.85","760.00","759.30","761.27","4,28,284","32,60,39,436.80","17,963","2,24,168","52.34"
"IPCALAB","EQ","10-Jul-2023","759.30","763.05","763.05","748.95","756.00","755.05","755.17","1,54,970","11,70,28,015.10","13,426","71,597","46.20"
"IPCALAB","EQ","11-Jul-2023","755.05","754.15","770.30","752.60","765.30","765.25","765.18","4,48,744","34,33,70,834.35","12,990","2,66,305","59.34"
"IPCALAB","EQ","12-Jul-2023","765.25","765.30","772.00","758.40","765.50","764.90","764.81","1,67,625","12,82,00,911.55","9,130","52,537","31.34"
"IPCALAB","EQ","13-Jul-2023","764.90","764.95","772.00","760.25","769.00","769.25","768.24","4,17,921","32,10,64,743.75","18,531","2,10,848","50.45"
"IPCALAB","EQ","14-Jul-2023","769.25","768.00","778.40","767.00","775.00","774.95","774.34","3,38,658","26,22,37,646.50","13,346","1,63,211","48.19"
"IPCALAB","EQ","17-Jul-2023","774.95","778.80","787.90","775.05","785.00","786.70","781.70","5,13,770","40,16,14,565.10","19,272","3,06,954","59.75"
"IPCALAB","EQ","18-Jul-2023","786.70","786.75","795.45","780.45","792.40","793.40","787.62","4,18,879","32,99,15,669.25","17,577","2,06,066","49.19"
"IPCALAB","EQ","19-Jul-2023","793.40","798.25","806.25","786.30","793.90","794.90","795.00","4,79,492","38,11,98,330.70","20,033","1,90,384","39.71"
"IPCALAB","EQ","20-Jul-2023","794.90","796.00","800.00","782.30","785.00","785.25","791.11","3,15,248","24,93,96,024.65","17,603","1,15,890","36.76"
"IPCALAB","EQ","21-Jul-2023","785.25","783.00","797.85","780.10","794.70","794.65","792.78","2,93,537","23,27,11,246.60","14,244","1,53,501","52.29"
"IPCALAB","EQ","24-Jul-2023","794.65","791.90","798.65","786.30","793.90","792.50","793.49","1,47,925","11,73,77,655.25","8,631","51,737","34.98"
"IPCALAB","EQ","25-Jul-2023","792.50","792.50","807.95","789.80","800.20","798.90","799.44","2,93,742","23,48,29,358.75","12,321","1,25,536","42.74"
"IPCALAB","EQ","26-Jul-2023","798.90","800.90","803.30","792.60","795.85","795.30","797.26","1,10,504","8,81,00,223.85","6,594","49,233","44.55"
"IPCALAB","EQ","27-Jul-2023","795.30","797.00","835.00","796.95","826.10","826.75","821.70","11,03,966","90,71,23,868.30","34,283","3,39,139","30.72"
"IPCALAB","EQ","28-Jul-2023","826.75","833.35","865.80","825.75","856.00","857.25","852.00","10,94,114","93,21,84,233.45","39,049","2,92,770","26.76"
"IPCALAB","EQ","31-Jul-2023","857.25","857.60","893.25","857.60","875.00","873.50","877.28","11,26,798","98,85,18,263.15","38,354","5,71,912","50.76"
"IPCALAB","EQ","01-Aug-2023","873.50","873.50","906.25","873.50","903.20","902.40","897.63","10,51,743","94,40,80,033.50","33,167","4,45,349","42.34"
"IPCALAB","EQ","02-Aug-2023","902.40","900.00","904.45","880.35","890.00","888.20","894.73","10,54,599","94,35,83,459.60","31,807","6,87,411","65.18"
"IPCALAB","EQ","03-Aug-2023","888.20","888.20","921.90","887.60","890.25","894.55","905.10","18,62,970","1,68,61,75,247.00","40,562","11,13,574","59.77"
"IPCALAB","EQ","04-Aug-2023","894.55","903.00","911.75","888.25","903.00","908.30","902.16","5,84,186","52,70,29,416.25","19,917","3,02,737","51.82"
"IPCALAB","EQ","07-Aug-2023","908.30","908.80","943.00","902.95","927.00","930.10","929.17","12,91,271","1,19,98,09,363.80","46,673","6,46,245","50.05"
"IPCALAB","EQ","08-Aug-2023","930.10","933.50","937.80","905.75","909.50","910.40","915.35","8,05,529","73,73,38,918.05","34,049","4,39,698","54.58"
"IPCALAB","EQ","09-Aug-2023","910.40","910.35","943.05","903.30","912.10","911.90","926.03","10,86,827","1,00,64,30,041.30","43,056","2,78,181","25.60"
"IPCALAB","EQ","10-Aug-2023","911.90","918.95","936.55","885.30","903.00","900.85","910.37","17,29,523","1,57,45,09,761.00","62,575","5,90,796","34.16"
"IPCALAB","EQ","11-Aug-2023","900.85","906.00","918.95","900.10","905.00","907.05","912.35","14,58,498","1,33,06,63,408.00","32,289","9,83,009","67.40"
"IPCALAB","EQ","14-Aug-2023","907.05","903.05","912.70","847.30","887.20","884.45","887.28","20,52,925","1,82,15,20,496.35","49,370","8,12,485","39.58"
"IPCALAB","EQ","16-Aug-2023","884.45","888.00","894.45","873.60","889.00","889.65","886.82","3,91,865","34,75,14,702.15","14,580","70,359","17.95"
"IPCALAB","EQ","17-Aug-2023","889.65","889.00","900.95","886.30","889.70","888.50","892.54","1,97,980","17,67,05,089.30","7,973","37,400","18.89"
"IPCALAB","EQ","18-Aug-2023","888.50","892.05","893.45","875.00","879.00","877.75","881.81","2,32,148","20,47,09,812.20","10,151","1,08,196","46.61"
"IPCALAB","EQ","21-Aug-2023","877.75","882.40","894.70","877.00","885.10","887.00","885.96","4,63,250","41,04,20,588.80","16,869","2,89,373","62.47"
"IPCALAB","EQ","22-Aug-2023","887.00","891.70","896.75","883.35","884.90","884.95","887.26","2,63,267","23,35,86,000.45","11,583","1,39,379","52.94"
"IPCALAB","EQ","23-Aug-2023","884.95","884.30","891.50","875.05","876.20","877.05","882.85","1,67,935","14,82,62,180.70","6,274","32,312","19.24"
"IPCALAB","EQ","24-Aug-2023","877.05","889.00","918.75","878.00","887.00","883.45","899.15","13,50,171","1,21,40,04,502.50","42,622","3,29,157","24.38"
"IPCALAB","EQ","25-Aug-2023","883.45","887.00","902.00","878.95","880.65","883.95","891.53","9,41,439","83,93,18,911.45","35,256","3,79,684","40.33"
"IPCALAB","EQ","28-Aug-2023","883.95","894.25","897.85","881.55","892.00","893.65","890.24","3,05,486","27,19,56,987.95","18,948","1,04,269","34.13"
"IPCALAB","EQ","29-Aug-2023","893.65","898.40","901.65","886.00","887.00","888.40","891.44","7,21,700","64,33,51,489.15","23,906","3,73,928","51.81"
"IPCALAB","EQ","30-Aug-2023","888.40","889.00","905.00","888.70","890.00","890.55","896.27","4,35,866","39,06,55,059.35","16,123","1,69,097","38.80"
"IPCALAB","EQ","31-Aug-2023","890.55","893.05","893.05","869.80","873.90","873.45","876.53","5,61,536","49,22,01,183.95","17,999","2,85,517","50.85"
