"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"REDINGTON","EQ","30-Jun-2023","186.40","186.80","187.40","182.00","186.00","186.00","185.15","22,97,029","42,52,99,972.15","18,468","13,65,039","59.43"
"REDINGTON","EQ","03-Jul-2023","186.00","187.85","192.70","185.75","192.10","191.60","189.70","26,36,041","50,00,58,301.40","22,388","15,71,687","59.62"
"REDINGTON","EQ","04-Jul-2023","191.60","194.00","196.00","192.75","193.45","193.55","194.04","25,51,860","49,51,73,820.40","17,634","12,65,931","49.61"
"REDINGTON","EQ","05-Jul-2023","193.55","194.45","195.10","192.20","194.15","193.90","193.61","12,16,886","23,55,95,766.70","12,610","6,67,037","54.82"
"REDINGTON","EQ","06-Jul-2023","193.90","194.95","196.00","192.35","195.00","193.85","193.74","17,81,351","34,51,13,963.85","15,677","10,45,812","58.71"
"REDINGTON","EQ","07-Jul-2023","193.85","187.50","189.90","187.10","188.90","188.90","188.68","13,98,823","26,39,30,892.55","13,029","7,09,971","50.75"
"REDINGTON","EQ","10-Jul-2023","188.90","190.00","190.00","185.30","187.60","188.55","187.98","16,73,920","31,46,60,132.40","13,041","8,02,665","47.95"
"REDINGTON","EQ","11-Jul-2023","188.55","188.85","190.20","185.10","189.25","189.15","189.08","14,33,795","27,10,97,876.10","12,090","8,73,697","60.94"
"REDINGTON","EQ","12-Jul-2023","189.15","189.20","190.00","186.65","187.80","187.80","188.61","25,09,921","47,34,01,301.10","18,789","17,75,980","70.76"
"REDINGTON","EQ","13-Jul-2023","187.80","188.70","188.75","185.00","186.70","186.25","186.80","12,72,320","23,76,68,822.05","15,757","7,82,425","61.50"
"REDINGTON","EQ","14-Jul-2023","186.25","186.65","187.75","181.10","182.30","182.25","184.59","22,90,920","42,28,72,094.50","34,260","14,97,169","65.35"
"REDINGTON","EQ","17-Jul-2023","182.25","182.60","185.50","180.95","181.10","181.30","183.33","17,76,144","32,56,18,335.70","17,022","10,30,160","58.00"
"REDINGTON","EQ","18-Jul-2023","181.30","181.40","182.25","177.60","180.70","181.25","180.16","21,26,974","38,31,99,005.45","18,691","11,47,187","53.94"
"REDINGTON","EQ","19-Jul-2023","181.25","181.50","182.60","180.20","181.70","181.70","181.66","14,71,582","26,73,30,493.10","15,646","8,92,731","60.66"
"REDINGTON","EQ","20-Jul-2023","181.70","180.70","182.70","180.60","180.95","180.95","181.58","11,49,068","20,86,50,848.45","11,192","7,00,052","60.92"
"REDINGTON","EQ","21-Jul-2023","180.95","181.25","182.00","178.60","180.70","180.80","180.75","14,00,242","25,30,95,244.00","15,021","8,54,578","61.03"
"REDINGTON","EQ","24-Jul-2023","180.80","180.95","183.00","178.90","180.10","180.85","181.08","11,18,641","20,25,65,613.30","12,793","5,60,526","50.11"
"REDINGTON","EQ","25-Jul-2023","180.85","180.50","184.50","180.10","183.95","183.85","182.25","10,75,258","19,59,67,445.70","16,163","6,42,706","59.77"
"REDINGTON","EQ","26-Jul-2023","183.85","184.50","184.75","179.00","180.40","179.65","182.07","16,54,532","30,12,40,777.55","23,918","10,95,765","66.23"
"REDINGTON","EQ","27-Jul-2023","179.65","180.40","183.10","180.10","182.40","181.90","181.96","11,54,352","21,00,46,648.60","16,646","7,76,796","67.29"
"REDINGTON","EQ","28-Jul-2023","181.90","182.85","183.05","180.20","181.00","181.40","181.51","11,56,929","20,99,98,164.35","27,435","7,11,735","61.52"
"REDINGTON","EQ","31-Jul-2023","181.40","181.55","183.50","179.55","180.70","180.30","181.60","18,93,131","34,37,89,235.20","20,241","12,60,278","66.57"
"REDINGTON","EQ","01-Aug-2023","180.30","180.60","184.30","180.60","183.90","183.20","182.93","11,90,959","21,78,63,390.30","14,782","6,76,287","56.79"
"REDINGTON","EQ","02-Aug-2023","183.20","176.40","178.90","163.10","164.00","164.20","169.33","80,61,167","1,36,50,13,173.20","75,064","41,39,641","51.35"
"REDINGTON","EQ","03-Aug-2023","164.20","164.25","164.90","156.05","161.75","161.65","160.24","63,30,049","1,01,43,25,922.00","52,338","28,62,597","45.22"
"REDINGTON","EQ","04-Aug-2023","161.65","161.80","165.35","158.05","158.75","159.50","160.81","26,74,315","43,00,50,758.15","22,593","14,67,848","54.89"
"REDINGTON","EQ","07-Aug-2023","159.50","160.70","161.55","155.25","156.30","155.95","156.93","37,71,773","59,18,93,858.75","29,872","21,61,497","57.31"
"REDINGTON","EQ","08-Aug-2023","155.95","155.50","156.70","153.20","154.50","154.15","154.24","21,24,351","32,76,53,397.70","29,055","12,66,505","59.62"
"REDINGTON","EQ","09-Aug-2023","154.15","154.80","159.50","154.50","156.00","156.45","157.06","24,04,299","37,76,28,973.50","20,704","12,18,931","50.70"
"REDINGTON","EQ","10-Aug-2023","156.45","156.50","157.50","154.25","154.85","154.75","155.18","15,50,622","24,06,25,841.65","14,328","10,07,658","64.98"
"REDINGTON","EQ","11-Aug-2023","154.75","155.70","156.95","151.50","151.95","151.80","152.92","18,06,650","27,62,80,036.95","21,514","11,35,959","62.88"
"REDINGTON","EQ","14-Aug-2023","151.80","150.95","150.95","147.10","149.50","149.50","148.43","27,14,545","40,29,27,018.60","34,992","16,90,529","62.28"
"REDINGTON","EQ","16-Aug-2023","149.50","149.40","159.00","148.50","157.90","158.15","156.26","30,53,716","47,71,64,535.75","29,343","14,31,669","46.88"
"REDINGTON","EQ","17-Aug-2023","158.15","158.45","158.60","153.90","154.60","154.50","155.12","12,81,720","19,88,25,646.80","24,694","7,50,461","58.55"
"REDINGTON","EQ","18-Aug-2023","154.50","155.00","155.80","154.00","154.55","154.35","154.50","8,44,245","13,04,38,237.35","14,889","4,96,166","58.77"
"REDINGTON","EQ","21-Aug-2023","154.35","155.15","155.75","152.55","153.30","153.10","153.63","11,34,786","17,43,34,583.50","12,607","7,43,334","65.50"
"REDINGTON","EQ","22-Aug-2023","153.10","153.20","154.75","152.25","153.05","153.45","153.90","15,36,011","23,63,85,845.90","13,004","11,28,615","73.48"
"REDINGTON","EQ","23-Aug-2023","153.45","153.80","155.25","151.75","153.00","152.80","152.74","28,86,089","44,08,32,386.55","20,115","20,45,460","70.87"
"REDINGTON","EQ","24-Aug-2023","152.80","154.10","154.95","152.70","154.15","154.00","153.72","15,53,550","23,88,08,828.10","13,826","11,27,801","72.60"
"REDINGTON","EQ","25-Aug-2023","154.00","154.00","159.50","153.05","156.30","156.60","156.43","25,63,982","40,10,86,214.10","26,561","13,29,287","51.84"
"REDINGTON","EQ","28-Aug-2023","156.60","157.20","158.65","153.60","156.10","156.20","155.43","15,56,805","24,19,67,859.70","15,712","8,38,316","53.85"
"REDINGTON","EQ","29-Aug-2023","156.20","156.80","157.95","155.00","155.85","155.60","156.24","8,43,308","13,17,57,993.10","11,113","4,79,616","56.87"
"REDINGTON","EQ","30-Aug-2023","155.60","156.50","158.95","156.25","157.00","157.00","157.45","12,06,408","18,99,49,989.55","14,909","7,33,792","60.82"
"REDINGTON","EQ","31-Aug-2023","157.00","157.65","158.45","156.00","157.40","156.85","157.12","9,48,551","14,90,37,071.85","11,793","6,30,036","66.42"
"REDINGTON","EQ","01-Sep-2023","156.85","157.65","158.20","156.00","156.15","156.20","156.78","11,19,690","17,55,48,037.40","19,491","6,56,036","58.59"
"REDINGTON","EQ","04-Sep-2023","156.20","157.00","157.75","155.05","156.00","156.00","156.03","19,16,503","29,90,36,672.55","26,567","13,88,904","72.47"
"REDINGTON","EQ","05-Sep-2023","156.00","157.10","164.65","155.85","164.45","163.40","160.95","65,15,022","1,04,85,82,193.35","47,543","31,60,233","48.51"
"REDINGTON","EQ","06-Sep-2023","163.40","165.50","167.90","163.45","164.65","164.85","166.06","58,78,596","97,62,07,478.45","45,341","29,95,273","50.95"
