Date,KALYANKJIL,IPCALAB,JIOFIN,LATENTVIEW,REDINGTON,RBLBANK,MSUMI,POWERINDIA,Week Number,Column 1,Month Number,Column 2,Daily Return,Weekly Return,Monthly Return,Total Amount
30-Jun-2022,10000000,10000000,0,10000000,10000000,10000000,10000000,10000000,27,70000000,6,70000000,N/A,N/A,N/A,70000000
01-Jul-2022,9892650.702,10006689.71,0,9905086.757,9812426.729,9899169.632,10078740.16,10021940.98,27,70000000,7,69616704.67,-0.5475647596,N/A,-0.5475647596,69616704.67
04-Jul-2022,10140379.85,10178392.24,0,9921399.97,9929660.023,10225385.53,10028632.78,10016376.24,28,70440226.64,7,69616704.67,1.182937304,0.6288951965,-0.5475647596,70440226.64
05-Jul-2022,10107349.3,10240829.52,0,10056354.74,10019538.88,10385527.88,10608446.67,10045153.9,28,70440226.64,7,69616704.67,1.452258612,0.6288951965,-0.5475647596,71463200.9
06-Jul-2022,10107349.3,10347864.87,0,10086015.13,10136772.18,9667852.906,10823192.56,10270128.47,28,70440226.64,7,69616704.67,-0.0336193986,0.6288951965,-0.5475647596,71439175.4
07-Jul-2022,10107349.3,10525699.63,0,10136437.79,10093786.64,9893238.434,11138153.19,10505914.53,28,70440226.64,7,69616704.67,1.345765955,0.6288951965,-0.5475647596,72400579.5
08-Jul-2022,10511973.58,10662281.19,0,10464185.08,10093786.64,10142348.75,10715819.61,10615460.44,28,70440226.64,7,69616704.67,1.112250483,0.6288951965,-0.5475647596,73205855.29
11-Jul-2022,10396366.64,10892518.68,0,10840872.02,10336068.78,9928825.623,10551181.1,10412267.87,29,73358100.7,7,69616704.67,0.2079688969,4.142340541,-0.5475647596,73358100.7
12-Jul-2022,10528488.85,10991749.36,0,10619902.12,10406408.75,10302491.1,11138153.19,11034088.02,29,73358100.7,7,69616704.67,2.267207948,4.142340541,-0.5475647596,75021281.39
13-Jul-2022,10503715.94,10810569.74,0,10452320.93,10269636.58,9982206.406,11073729.42,10889563.72,29,73358100.7,7,69616704.67,-1.385658367,4.142340541,-0.5475647596,73981742.73
14-Jul-2022,10553261.77,10869104.69,0,10296603.89,10289175.46,9988137.604,11073729.42,11039016.79,29,73358100.7,7,69616704.67,0.1720517588,4.142340541,-0.5475647596,74109029.62
15-Jul-2022,10842279.11,11043594.6,0,9962924.514,9609222.352,9750889.68,11295633.5,11069543.37,29,73358100.7,7,69616704.67,-0.7218317258,4.142340541,-0.5475647596,73574087.13
18-Jul-2022,10941370.77,11033002.56,0,10416728.46,9554513.482,9715302.491,11438797.42,11224084.2,30,74323799.39,7,69616704.67,1.018989548,1.316417244,-0.5475647596,74323799.39
19-Jul-2022,10792733.28,11127773.44,0,10958030.55,9531066.823,10189798.34,11403006.44,11417260.24,30,74323799.39,7,69616704.67,1.474453315,1.316417244,-0.5475647596,75419669.11
20-Jul-2022,10825763.83,11271044.71,0,10797864.45,9718640.094,10842230.13,10952040.09,11267012.21,30,74323799.39,7,69616704.67,0.3380104989,1.316417244,-0.5475647596,75674595.51
21-Jul-2022,10800990.92,11314527.82,0,10944683.38,9574052.364,10848161.33,11138153.19,10873028.49,30,74323799.39,7,69616704.67,-0.2391793878,1.316417244,-0.5475647596,75493597.48
22-Jul-2022,10718414.53,11221429.37,0,10949132.43,9468542.399,11263345.2,11675017.9,10740587.64,30,74323799.39,7,69616704.67,0.7190967191,1.316417244,-0.5475647596,76036469.46
25-Jul-2022,10710156.9,11007358.68,0,11035147.56,9417741.305,10937129.3,11539012.17,10080768.25,31,74727314.16,7,69616704.67,-1.721746564,0.5429146188,-0.5475647596,74727314.16
26-Jul-2022,10743187.45,10772103.91,0,10913539.97,9464634.623,11233689.21,11488904.8,9819543.373,31,74727314.16,7,69616704.67,-0.3903670817,0.5429146188,-0.5475647596,74435603.33
27-Jul-2022,10635838.15,10975582.56,0,10520539.82,9593591.247,10931198.1,11438797.42,10046266.85,31,74727314.16,7,69616704.67,-0.3946890427,0.5429146188,-0.5475647596,74141814.16
28-Jul-2022,10850536.75,10992306.83,0,11278362.75,9609222.352,10871886.12,11438797.42,10313215.47,31,74727314.16,7,69616704.67,1.635397715,0.5429146188,-0.5475647596,75354327.69
29-Jul-2022,10809248.55,11097112.28,0,11026249.44,9679562.329,10943060.5,11438797.42,10261224.88,31,74727314.16,7,69616704.67,-0.1314752453,0.5429146188,-0.5475647596,75255255.4
