Date,Close Price,Week Number,Column 1,Month Number,Column 2,Daily Return,Weekly Return,Monthly Return
30-Jun-22,15780.25,27,15780.25,6,15780.25,,,
01-Jul-22,15752.05,27,15780.25,7,15752.05,-0.178704393,,-0.178704393
04-Jul-22,15835.35,28,15835.35,7,15752.05,0.528820058,0.349170641,
05-Jul-22,15810.85,28,15835.35,7,15752.05,-0.154717136,,
06-Jul-22,15989.8,28,15835.35,7,15752.05,1.131817707,,
07-Jul-22,16132.9,28,15835.35,7,15752.05,0.894945528,,
08-Jul-22,16220.6,28,15835.35,7,15752.05,0.543609642,,
11-Jul-22,16216,29,16216,7,15752.05,-0.028359,2.403799095,
12-Jul-22,16058.3,29,16216,7,15752.05,-0.9724963,,
13-Jul-22,15966.65,29,16216,7,15752.05,-0.570732892,,
14-Jul-22,15938.65,29,16216,7,15752.05,-0.175365528,,
15-Jul-22,16049.2,29,16216,7,15752.05,0.693597011,,
18-Jul-22,16278.5,30,16278.5,7,15752.05,1.42873165,0.385421806,
19-Jul-22,16340.55,30,16278.5,7,15752.05,0.381177627,,
20-Jul-22,16520.85,30,16278.5,7,15752.05,1.103390033,,
21-Jul-22,16605.25,30,16278.5,7,15752.05,0.510869598,,
22-Jul-22,16719.45,30,16278.5,7,15752.05,0.687734301,,
25-Jul-22,16631,31,16631,7,15752.05,-0.529024579,2.165432933,
26-Jul-22,16483.85,31,16631,7,15752.05,-0.884793458,,
27-Jul-22,16641.8,31,16631,7,15752.05,0.958210612,,
28-Jul-22,16929.6,31,16631,7,15752.05,1.729380235,,
29-Jul-22,17158.25,31,16631,7,15752.05,1.350593044,,
01-Aug-22,17340.05,32,17340.05,8,17340.05,1.059548614,4.263423727,10.08122752
02-Aug-22,17345.45,32,17340.05,8,17340.05,0.031141779,,
03-Aug-22,17388.15,32,17340.05,8,17340.05,0.246174069,,
04-Aug-22,17382,32,17340.05,8,17340.05,-0.035368915,,
05-Aug-22,17397.5,32,17340.05,8,17340.05,0.089172707,,
08-Aug-22,17525.1,33,17525.1,8,17340.05,0.733438713,1.067182621,
10-Aug-22,17534.75,33,17525.1,8,17340.05,0.05506388,,
11-Aug-22,17659,33,17525.1,8,17340.05,0.708592937,,
12-Aug-22,17698.15,33,17525.1,8,17340.05,0.221699983,,
16-Aug-22,17825.25,34,17825.25,8,17340.05,0.718154157,1.712686376,
17-Aug-22,17944.25,34,17825.25,8,17340.05,0.66759232,,
18-Aug-22,17956.5,34,17825.25,8,17340.05,0.068266994,,
19-Aug-22,17758.45,34,17825.25,8,17340.05,-1.102943224,,
22-Aug-22,17490.7,35,17490.7,8,17340.05,-1.507732938,-1.876832022,
23-Aug-22,17577.5,35,17490.7,8,17340.05,0.496263729,,
24-Aug-22,17604.95,35,17490.7,8,17340.05,0.156165553,,
25-Aug-22,17522.45,35,17490.7,8,17340.05,-0.468618201,,
26-Aug-22,17558.9,35,17490.7,8,17340.05,0.208018856,,
29-Aug-22,17312.9,36,17312.9,8,17340.05,-1.400998924,-1.016540219,
30-Aug-22,17759.3,36,17312.9,8,17340.05,2.578424181,,
01-Sep-22,17542.8,36,17312.9,9,17542.8,-1.219079581,,1.169258451
02-Sep-22,17539.45,36,17312.9,9,17542.8,-0.019096153,,
05-Sep-22,17665.8,37,17665.8,9,17542.8,0.720376067,2.038364457,
06-Sep-22,17655.6,37,17665.8,9,17542.8,-0.057738682,,
07-Sep-22,17624.4,37,17665.8,9,17542.8,-0.17671447,,
08-Sep-22,17798.75,37,17665.8,9,17542.8,0.989253535,,
09-Sep-22,17833.35,37,17665.8,9,17542.8,0.194395674,,
12-Sep-22,17936.35,38,17936.35,9,17542.8,0.577569554,1.531490224,
13-Sep-22,18070.05,38,17936.35,9,17542.8,0.745413643,,
