"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Mar-2024","28-Mar-2024","XX","-","1,198.65","1,245.90","1,197.80","1,239.00","1,245.90","1,237.40","10,01,650","1,23,21,23,327.50","1,23,21,23,327.50","1,18,300","-4,29,000"
"27-Mar-2024","28-Mar-2024","XX","-","1,208.35","1,224.00","1,182.20","1,203.30","1,194.10","1,203.30","13,33,800","1,61,03,40,842.50","1,61,03,40,842.50","5,47,300","-5,59,650"
"26-Mar-2024","28-Mar-2024","XX","-","1,208.10","1,216.55","1,190.85","1,204.55","1,205.65","1,204.55","19,27,250","2,32,76,19,612.50","2,32,76,19,612.50","11,06,950","-8,90,500"
"22-Mar-2024","28-Mar-2024","XX","-","1,174.40","1,210.00","1,169.95","1,199.95","1,195.65","1,199.95","27,24,150","3,26,16,11,080.00","3,26,16,11,080.00","19,97,450","-2,05,400"
"21-Mar-2024","28-Mar-2024","XX","-","1,153.25","1,176.30","1,141.40","1,172.50","1,175.10","1,172.50","7,47,500","86,92,86,925.00","86,92,86,925.00","22,02,850","3,250"
"20-Mar-2024","28-Mar-2024","XX","-","1,137.90","1,165.95","1,128.85","1,158.85","1,156.40","1,158.85","5,51,200","63,28,94,080.00","63,28,94,080.00","21,99,600","-27,950"
"19-Mar-2024","28-Mar-2024","XX","-","1,162.15","1,162.15","1,136.50","1,142.65","1,142.15","1,142.65","4,64,750","53,30,76,830.00","53,30,76,830.00","22,27,550","11,700"
"18-Mar-2024","28-Mar-2024","XX","-","1,164.50","1,182.50","1,152.70","1,166.80","1,169.60","1,166.80","5,42,750","63,33,43,100.00","63,33,43,100.00","22,15,850","23,400"
"15-Mar-2024","28-Mar-2024","XX","-","1,191.95","1,201.55","1,148.00","1,167.30","1,164.50","1,167.30","6,18,150","72,31,31,727.50","72,31,31,727.50","21,92,450","-1,28,050"
"14-Mar-2024","28-Mar-2024","XX","-","1,154.80","1,218.05","1,150.85","1,190.70","1,191.70","1,190.70","23,19,200","2,74,05,77,677.50","2,74,05,77,677.50","23,20,500","-70,850"
