"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Sep-2023","28-Sep-2023","XX","-","918.00","931.80","910.10","923.35","928.00","923.85","8,75,550","80,54,57,412.50","80,54,57,412.50","1,15,700","-3,52,950"
"27-Sep-2023","28-Sep-2023","XX","-","905.50","921.25","897.00","917.85","921.25","917.85","15,17,100","1,38,14,79,157.50","1,38,14,79,157.50","4,68,650","-5,49,900"
"26-Sep-2023","28-Sep-2023","XX","-","887.95","904.20","884.90","900.20","904.15","900.20","11,01,100","98,47,14,900.00","98,47,14,900.00","10,18,550","-2,74,300"
"25-Sep-2023","28-Sep-2023","XX","-","894.85","895.25","885.35","892.15","892.95","892.15","6,70,150","59,70,68,680.00","59,70,68,680.00","12,92,850","-3,35,400"
"22-Sep-2023","28-Sep-2023","XX","-","899.65","902.15","876.55","892.65","892.85","892.65","7,74,150","68,93,64,487.50","68,93,64,487.50","16,28,250","-1,16,350"
"21-Sep-2023","28-Sep-2023","XX","-","911.55","919.90","896.10","899.45","899.55","899.45","8,16,400","74,16,58,742.50","74,16,58,742.50","17,44,600","-1,44,300"
"20-Sep-2023","28-Sep-2023","XX","-","920.70","922.95","902.25","916.55","917.30","916.55","10,48,450","95,76,28,295.00","95,76,28,295.00","18,88,900","-1,98,250"
"18-Sep-2023","28-Sep-2023","XX","-","934.20","950.00","919.50","923.90","923.25","923.90","23,75,100","2,21,89,48,322.50","2,21,89,48,322.50","20,87,150","4,55,000"
"15-Sep-2023","28-Sep-2023","XX","-","904.95","937.90","904.95","932.30","933.90","932.30","35,26,900","3,26,41,84,430.00","3,26,41,84,430.00","16,32,150","3,01,600"
"14-Sep-2023","28-Sep-2023","XX","-","891.75","905.00","891.75","902.65","902.95","902.65","4,31,600","38,83,12,047.50","38,83,12,047.50","13,30,550","-57,200"
"13-Sep-2023","28-Sep-2023","XX","-","894.05","908.00","889.35","891.15","892.55","891.15","7,33,200","65,69,33,582.50","65,69,33,582.50","13,87,750","6,500"
"12-Sep-2023","28-Sep-2023","XX","-","902.30","914.60","885.45","893.45","893.45","893.45","9,62,000","86,38,73,465.00","86,38,73,465.00","13,81,250","-70,200"
"11-Sep-2023","28-Sep-2023","XX","-","902.00","905.00","893.40","899.55","900.05","899.55","3,10,700","27,94,25,217.50","27,94,25,217.50","14,51,450","-29,900"
"08-Sep-2023","28-Sep-2023","XX","-","898.65","905.00","889.90","897.90","898.00","897.90","4,95,300","44,45,82,417.50","44,45,82,417.50","14,81,350","-55,250"
"07-Sep-2023","28-Sep-2023","XX","-","902.85","906.50","895.00","898.70","898.00","898.70","3,99,100","35,91,67,607.50","35,91,67,607.50","15,36,600","-14,300"
"06-Sep-2023","28-Sep-2023","XX","-","891.60","906.90","888.80","899.80","899.55","899.80","8,07,300","72,54,83,330.00","72,54,83,330.00","15,50,900","54,600"
"05-Sep-2023","28-Sep-2023","XX","-","876.15","897.10","874.20","888.75","889.30","888.75","8,78,800","77,98,29,310.00","77,98,29,310.00","14,96,300","-15,600"
"04-Sep-2023","28-Sep-2023","XX","-","872.15","879.75","861.20","877.00","878.00","877.00","5,88,900","51,35,33,605.00","51,35,33,605.00","15,11,900","49,400"
"01-Sep-2023","28-Sep-2023","XX","-","871.10","875.40","863.20","871.30","870.55","871.30","6,07,100","52,83,92,702.50","52,83,92,702.50","14,62,500","-44,200"
"31-Aug-2023","28-Sep-2023","XX","-","894.10","894.10","866.50","871.45","871.80","871.45","9,43,150","82,69,05,885.00","82,69,05,885.00","15,06,700","-57,850"
"30-Aug-2023","28-Sep-2023","XX","-","894.40","904.80","889.55","891.60","889.55","891.60","8,93,100","80,14,04,922.50","80,14,04,922.50","15,64,550","3,56,200"
"29-Aug-2023","28-Sep-2023","XX","-","896.10","899.10","884.10","888.55","889.00","888.55","9,93,200","88,39,28,987.50","88,39,28,987.50","12,08,350","3,86,100"
"28-Aug-2023","28-Sep-2023","XX","-","886.25","893.80","874.15","891.90","892.30","891.90","5,23,900","46,40,18,685.00","46,40,18,685.00","8,22,250","1,61,200"
