"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"27-Jun-2023","29-Jun-2023","XX","-","167.30","174.60","166.70","174.15","174.30","174.15","87,70,000","1,50,07,03,750.00","1,50,07,03,750.00","2,74,55,000","-64,60,000"
"26-Jun-2023","29-Jun-2023","XX","-","165.50","168.50","165.15","165.90","165.65","165.90","32,65,000","54,40,76,000.00","54,40,76,000.00","3,39,15,000","-29,55,000"
"23-Jun-2023","29-Jun-2023","XX","-","167.00","167.90","164.65","166.20","166.00","166.20","41,70,000","69,34,67,750.00","69,34,67,750.00","3,68,70,000","-41,15,000"
"22-Jun-2023","29-Jun-2023","XX","-","172.40","173.05","166.40","167.15","166.95","167.15","3,59,05,000","6,04,39,17,000.00","6,04,39,17,000.00","4,09,85,000","-61,05,000"
"21-Jun-2023","29-Jun-2023","XX","-","170.85","176.40","170.85","172.65","172.40","172.65","1,10,45,000","1,91,47,27,000.00","1,91,47,27,000.00","4,70,90,000","8,05,000"
"20-Jun-2023","29-Jun-2023","XX","-","171.60","175.70","171.30","173.60","173.70","173.60","1,06,95,000","1,85,51,23,250.00","1,85,51,23,250.00","4,62,85,000","10,60,000"
"19-Jun-2023","29-Jun-2023","XX","-","173.60","176.60","171.80","172.75","172.45","172.75","1,07,65,000","1,87,28,52,000.00","1,87,28,52,000.00","4,52,25,000","-6,00,000"
"16-Jun-2023","29-Jun-2023","XX","-","168.65","175.60","167.25","174.05","173.85","174.05","2,30,95,000","3,97,80,86,500.00","3,97,80,86,500.00","4,58,25,000","7,90,000"
"15-Jun-2023","29-Jun-2023","XX","-","174.00","174.20","166.70","167.25","167.40","167.25","2,29,60,000","3,89,52,72,500.00","3,89,52,72,500.00","4,50,35,000","-14,05,000"
"14-Jun-2023","29-Jun-2023","XX","-","178.80","180.30","173.80","174.30","174.25","174.30","1,10,90,000","1,95,19,73,000.00","1,95,19,73,000.00","4,64,40,000","-8,70,000"
"13-Jun-2023","29-Jun-2023","XX","-","179.30","179.95","176.35","179.10","179.00","179.10","93,30,000","1,66,67,96,000.00","1,66,67,96,000.00","4,73,10,000","-4,90,000"
"12-Jun-2023","29-Jun-2023","XX","-","175.90","179.10","174.95","178.80","178.50","178.80","90,55,000","1,60,55,45,250.00","1,60,55,45,250.00","4,78,00,000","17,70,000"
"09-Jun-2023","29-Jun-2023","XX","-","174.40","180.90","173.95","175.70","175.90","175.70","1,91,80,000","3,40,73,54,500.00","3,40,73,54,500.00","4,60,30,000","-80,000"
"08-Jun-2023","29-Jun-2023","XX","-","177.55","178.90","173.45","174.05","174.60","174.05","1,36,60,000","2,39,92,62,000.00","2,39,92,62,000.00","4,61,10,000","-14,95,000"
"07-Jun-2023","29-Jun-2023","XX","-","176.50","179.40","176.40","176.95","176.80","176.95","1,24,85,000","2,22,20,35,250.00","2,22,20,35,250.00","4,76,05,000","-8,40,000"
"06-Jun-2023","29-Jun-2023","XX","-","173.55","177.55","171.65","176.50","176.55","176.50","1,55,15,000","2,71,62,47,500.00","2,71,62,47,500.00","4,84,45,000","14,10,000"
"05-Jun-2023","29-Jun-2023","XX","-","171.05","176.50","169.50","174.25","174.05","174.25","1,71,65,000","2,98,20,09,750.00","2,98,20,09,750.00","4,70,35,000","6,75,000"
"02-Jun-2023","29-Jun-2023","XX","-","170.90","172.20","168.40","170.45","170.25","170.45","1,70,40,000","2,90,58,26,000.00","2,90,58,26,000.00","4,63,60,000","14,65,000"
"01-Jun-2023","29-Jun-2023","XX","-","163.55","172.95","163.45","169.70","169.55","169.70","3,17,20,000","5,38,22,44,000.00","5,38,22,44,000.00","4,48,95,000","25,35,000"
"31-May-2023","29-Jun-2023","XX","-","164.25","165.50","159.75","163.00","163.15","163.00","2,21,45,000","3,59,44,79,500.00","3,59,44,79,500.00","4,23,60,000","17,50,000"
"30-May-2023","29-Jun-2023","XX","-","154.95","164.50","153.90","164.15","164.25","164.15","3,66,75,000","5,91,63,81,750.00","5,91,63,81,750.00","4,06,10,000","44,95,000"
"29-May-2023","29-Jun-2023","XX","-","151.50","155.70","149.95","154.90","154.75","154.90","2,16,45,000","3,32,96,67,500.00","3,32,96,67,500.00","3,61,15,000","-11,90,000"
"26-May-2023","29-Jun-2023","XX","-","147.75","150.25","147.35","149.40","149.25","149.40","75,75,000","1,12,95,32,000.00","1,12,95,32,000.00","3,73,05,000","50,000"
"25-May-2023","29-Jun-2023","XX","-","146.10","148.60","145.10","148.15","148.45","148.15","2,15,45,000","3,16,18,43,250.00","3,16,18,43,250.00","3,72,55,000","87,10,000"
"24-May-2023","29-Jun-2023","XX","-","148.50","148.90","146.20","146.35","146.40","146.35","1,34,40,000","1,98,24,48,000.00","1,98,24,48,000.00","2,85,45,000","72,35,000"
"23-May-2023","29-Jun-2023","XX","-","144.00","149.95","144.00","148.65","148.00","148.65","1,97,80,000","2,93,04,97,750.00","2,93,04,97,750.00","2,13,10,000","81,30,000"
"22-May-2023","29-Jun-2023","XX","-","144.90","145.35","143.50","144.10","143.95","144.10","87,15,000","1,25,68,26,000.00","1,25,68,26,000.00","1,31,80,000","56,05,000"
"19-May-2023","29-Jun-2023","XX","-","144.05","145.10","139.75","144.90","144.75","144.90","48,65,000","69,48,49,250.00","69,48,49,250.00","75,75,000","21,00,000"
"18-May-2023","29-Jun-2023","XX","-","147.05","148.00","142.70","143.15","142.95","143.15","39,70,000","57,56,83,750.00","57,56,83,750.00","54,75,000","16,70,000"
"17-May-2023","29-Jun-2023","XX","-","149.95","150.55","144.60","146.05","146.15","146.05","29,00,000","42,58,10,500.00","42,58,10,500.00","38,05,000","12,20,000"
