"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Sep-2023","28-Sep-2023","XX","-","247.80","248.95","240.55","241.35","242.35","241.35","1,26,35,000","3,09,05,84,500.00","3,09,05,84,500.00","26,25,000","-55,00,000"
"27-Sep-2023","28-Sep-2023","XX","-","238.70","246.80","237.25","245.30","244.70","245.30","1,78,30,000","4,33,08,22,000.00","4,33,08,22,000.00","81,25,000","-62,65,000"
"26-Sep-2023","28-Sep-2023","XX","-","239.30","242.95","236.70","237.70","237.80","237.70","1,73,75,000","4,16,95,83,500.00","4,16,95,83,500.00","1,43,90,000","-75,55,000"
"25-Sep-2023","28-Sep-2023","XX","-","234.10","244.20","229.60","238.50","239.00","238.50","4,21,00,000","10,04,57,14,500.00","10,04,57,14,500.00","2,19,45,000","-1,10,80,000"
"22-Sep-2023","28-Sep-2023","XX","-","227.55","236.80","227.30","233.50","232.70","233.50","3,05,80,000","7,15,35,09,250.00","7,15,35,09,250.00","3,30,25,000","-69,45,000"
"21-Sep-2023","28-Sep-2023","XX","-","231.10","235.60","226.00","226.80","226.05","226.80","3,10,15,000","7,16,99,71,750.00","7,16,99,71,750.00","3,99,70,000","-80,00,000"
"20-Sep-2023","28-Sep-2023","XX","-","228.80","235.80","228.30","232.40","233.00","232.40","1,48,15,000","3,44,57,74,250.00","3,44,57,74,250.00","4,79,70,000","-15,05,000"
"18-Sep-2023","28-Sep-2023","XX","-","235.00","237.20","230.45","231.00","231.00","231.00","1,58,20,000","3,68,86,95,500.00","3,68,86,95,500.00","4,94,75,000","7,00,000"
"15-Sep-2023","28-Sep-2023","XX","-","230.95","236.30","226.50","234.10","235.55","234.10","2,28,35,000","5,29,34,00,000.00","5,29,34,00,000.00","4,87,75,000","3,60,000"
"14-Sep-2023","28-Sep-2023","XX","-","229.55","231.25","225.70","229.50","229.05","229.50","1,68,70,000","3,85,65,17,750.00","3,85,65,17,750.00","4,84,15,000","12,80,000"
"13-Sep-2023","28-Sep-2023","XX","-","219.00","229.00","219.00","228.40","228.25","228.40","2,52,60,000","5,69,01,75,500.00","5,69,01,75,500.00","4,71,35,000","-28,20,000"
"12-Sep-2023","28-Sep-2023","XX","-","234.80","235.10","216.90","218.20","218.30","218.20","2,87,30,000","6,41,54,06,750.00","6,41,54,06,750.00","4,99,55,000","36,80,000"
"11-Sep-2023","28-Sep-2023","XX","-","235.95","236.90","231.65","233.80","233.80","233.80","1,28,95,000","3,02,03,21,250.00","3,02,03,21,250.00","4,62,75,000","15,00,000"
