"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"27-Jun-2024","27-Jun-2024","XX","-","1,625.00","1,625.00","1,591.65","1,601.80","1,601.85","1,603.10","32,35,500","5,19,02,73,675.00","5,19,02,73,675.00","5,26,000","-17,33,500"
"26-Jun-2024","27-Jun-2024","XX","-","1,606.70","1,614.55","1,592.20","1,599.15","1,596.00","1,599.15","49,90,500","7,98,15,81,450.00","7,98,15,81,450.00","22,59,500","-34,85,000"
"25-Jun-2024","27-Jun-2024","XX","-","1,588.65","1,611.75","1,570.45","1,604.50","1,605.40","1,604.50","56,34,500","8,95,04,79,400.00","8,95,04,79,400.00","57,44,500","-32,24,500"
"24-Jun-2024","27-Jun-2024","XX","-","1,585.80","1,591.55","1,559.25","1,589.50","1,591.00","1,589.50","22,91,000","3,61,32,50,425.00","3,61,32,50,425.00","89,69,000","-12,66,000"
"21-Jun-2024","27-Jun-2024","XX","-","1,593.30","1,609.15","1,573.85","1,581.65","1,580.80","1,581.65","37,93,500","6,02,48,27,425.00","6,02,48,27,425.00","1,02,35,000","-3,20,500"
"20-Jun-2024","27-Jun-2024","XX","-","1,596.05","1,597.70","1,572.00","1,585.30","1,585.95","1,585.30","20,14,000","3,18,50,23,000.00","3,18,50,23,000.00","1,05,55,500","-3,26,500"
"19-Jun-2024","27-Jun-2024","XX","-","1,597.15","1,601.00","1,582.35","1,593.40","1,592.00","1,593.40","18,05,500","2,87,44,16,175.00","2,87,44,16,175.00","1,08,82,000","-1,36,000"
"18-Jun-2024","27-Jun-2024","XX","-","1,577.20","1,603.75","1,577.20","1,598.30","1,598.50","1,598.30","16,35,000","2,60,89,95,425.00","2,60,89,95,425.00","1,10,18,000","-1,67,500"
"14-Jun-2024","27-Jun-2024","XX","-","1,586.20","1,595.85","1,578.45","1,590.45","1,588.55","1,590.45","13,20,500","2,09,88,82,250.00","2,09,88,82,250.00","1,11,85,500","-43,500"
"13-Jun-2024","27-Jun-2024","XX","-","1,588.60","1,598.20","1,583.30","1,590.85","1,590.75","1,590.85","16,98,000","2,70,07,52,850.00","2,70,07,52,850.00","1,12,29,000","-46,500"
"12-Jun-2024","27-Jun-2024","XX","-","1,574.00","1,598.50","1,566.00","1,584.55","1,583.30","1,584.55","27,22,000","4,31,00,34,375.00","4,31,00,34,375.00","1,12,75,500","4,24,500"
"11-Jun-2024","27-Jun-2024","XX","-","1,569.45","1,580.35","1,560.65","1,572.75","1,574.00","1,572.75","14,08,500","2,21,49,14,000.00","2,21,49,14,000.00","1,08,51,000","57,500"
"10-Jun-2024","27-Jun-2024","XX","-","1,583.25","1,590.10","1,563.00","1,567.65","1,564.40","1,567.65","19,50,500","3,07,82,15,150.00","3,07,82,15,150.00","1,07,93,500","-55,500"
"07-Jun-2024","27-Jun-2024","XX","-","1,541.00","1,585.95","1,533.70","1,572.35","1,568.50","1,572.35","44,17,500","6,91,42,67,050.00","6,91,42,67,050.00","1,08,49,000","-4,66,500"
