"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Sep-2023","28-Sep-2023","XX","-","1,565.05","1,568.80","1,531.25","1,537.00","1,536.30","1,539.65","31,82,500","4,93,37,51,775.00","4,93,37,51,775.00","4,46,000","-18,99,000"
"27-Sep-2023","28-Sep-2023","XX","-","1,564.95","1,568.00","1,551.00","1,563.30","1,566.90","1,563.30","28,54,000","4,45,26,34,525.00","4,45,26,34,525.00","23,45,000","-19,61,500"
"26-Sep-2023","28-Sep-2023","XX","-","1,578.95","1,581.70","1,550.25","1,565.95","1,568.50","1,565.95","48,60,500","7,61,03,38,300.00","7,61,03,38,300.00","43,06,500","-27,99,500"
"25-Sep-2023","28-Sep-2023","XX","-","1,549.75","1,592.00","1,548.60","1,577.00","1,573.40","1,577.00","58,43,000","9,23,21,45,575.00","9,23,21,45,575.00","71,06,000","-18,86,000"
"22-Sep-2023","28-Sep-2023","XX","-","1,528.95","1,552.00","1,527.30","1,543.10","1,543.20","1,543.10","28,97,000","4,47,61,38,800.00","4,47,61,38,800.00","89,92,000","-9,77,000"
"21-Sep-2023","28-Sep-2023","XX","-","1,550.20","1,554.70","1,515.05","1,526.35","1,526.75","1,526.35","30,31,000","4,63,06,71,950.00","4,63,06,71,950.00","99,69,000","-7,50,500"
"20-Sep-2023","28-Sep-2023","XX","-","1,560.55","1,571.35","1,550.20","1,554.60","1,556.10","1,554.60","21,64,000","3,37,30,90,275.00","3,37,30,90,275.00","1,07,19,500","-1,56,500"
"18-Sep-2023","28-Sep-2023","XX","-","1,541.50","1,569.45","1,538.45","1,564.00","1,563.00","1,564.00","25,23,500","3,93,26,42,625.00","3,93,26,42,625.00","1,08,76,000","2,04,000"
"15-Sep-2023","28-Sep-2023","XX","-","1,562.10","1,572.85","1,537.30","1,543.90","1,543.35","1,543.90","42,52,000","6,59,90,92,425.00","6,59,90,92,425.00","1,06,72,000","3,97,500"
"14-Sep-2023","28-Sep-2023","XX","-","1,559.55","1,566.00","1,546.65","1,554.60","1,554.30","1,554.60","16,43,000","2,55,59,37,700.00","2,55,59,37,700.00","1,02,74,500","2,14,000"
"13-Sep-2023","28-Sep-2023","XX","-","1,542.50","1,567.20","1,526.20","1,557.65","1,555.70","1,557.65","27,69,500","4,28,73,93,275.00","4,28,73,93,275.00","1,00,60,500","3,38,000"
"12-Sep-2023","28-Sep-2023","XX","-","1,559.30","1,559.30","1,531.70","1,547.90","1,547.75","1,547.90","26,91,500","4,15,86,91,800.00","4,15,86,91,800.00","97,22,500","-2,82,500"
"11-Sep-2023","28-Sep-2023","XX","-","1,539.70","1,559.60","1,539.70","1,554.80","1,555.95","1,554.80","20,20,500","3,14,04,11,900.00","3,14,04,11,900.00","1,00,05,000","2,63,500"
