"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"29-Sep-2022","29-Sep-2022","XX","-","698.00","708.35","677.55","685.50","688.00","686.70","17,31,000","1,19,50,10,350.00","1,19,50,10,350.00","3,96,000","-7,34,000"
"29-Sep-2022","29-Sep-2022","XX","-","698.00","708.35","677.55","685.50","688.00","686.70","17,31,000","1,19,50,10,350.00","1,19,50,10,350.00","3,96,000","-7,34,000"
"28-Sep-2022","29-Sep-2022","XX","-","690.60","709.70","686.25","696.45","696.20","696.45","28,47,000","1,99,64,39,400.00","1,99,64,39,400.00","11,30,000","-16,37,000"
"27-Sep-2022","29-Sep-2022","XX","-","732.90","732.90","701.60","706.25","709.25","706.25","45,96,000","3,26,88,03,800.00","3,26,88,03,800.00","27,67,000","-13,95,000"
"26-Sep-2022","29-Sep-2022","XX","-","740.95","743.90","708.40","724.50","723.60","724.50","47,45,000","3,44,47,08,950.00","3,44,47,08,950.00","41,62,000","-26,25,000"
"23-Sep-2022","29-Sep-2022","XX","-","781.90","784.70","747.15","749.10","747.80","749.10","28,22,000","2,14,43,96,300.00","2,14,43,96,300.00","67,87,000","-2,39,000"
"22-Sep-2022","29-Sep-2022","XX","-","758.45","788.40","758.45","784.80","786.50","784.80","41,04,000","3,18,21,54,100.00","3,18,21,54,100.00","70,26,000","3,79,000"
"21-Sep-2022","29-Sep-2022","XX","-","771.00","783.85","762.55","764.20","764.35","764.20","32,43,000","2,50,39,02,150.00","2,50,39,02,150.00","66,47,000","31,000"
"20-Sep-2022","29-Sep-2022","XX","-","748.75","774.75","747.60","769.25","769.85","769.25","35,68,000","2,73,51,24,950.00","2,73,51,24,950.00","66,16,000","-1,61,000"
"19-Sep-2022","29-Sep-2022","XX","-","745.70","751.65","735.30","739.05","742.25","739.05","19,58,000","1,45,15,69,300.00","1,45,15,69,300.00","67,77,000","-1,31,000"
"16-Sep-2022","29-Sep-2022","XX","-","711.70","785.70","711.70","747.25","746.35","747.25","30,68,000","2,32,33,42,250.00","2,32,33,42,250.00","69,08,000","-54,000"
"15-Sep-2022","29-Sep-2022","XX","-","782.15","791.85","775.25","787.00","786.00","787.00","14,60,000","1,14,41,10,600.00","1,14,41,10,600.00","69,62,000","-64,000"
"15-Sep-2022","29-Sep-2022","XX","-","782.15","791.85","775.25","787.00","786.00","787.00","14,60,000","1,14,41,10,600.00","1,14,41,10,600.00","69,62,000","-64,000"
"14-Sep-2022","29-Sep-2022","XX","-","773.10","788.00","766.75","780.60","780.00","780.60","14,20,000","1,11,25,20,350.00","1,11,25,20,350.00","70,26,000","-1,92,000"
"13-Sep-2022","29-Sep-2022","XX","-","790.20","793.55","786.05","788.15","788.45","788.15","13,62,000","1,07,51,78,200.00","1,07,51,78,200.00","72,18,000","-2,02,000"
"12-Sep-2022","29-Sep-2022","XX","-","793.00","798.90","785.25","786.45","785.45","786.45","30,63,000","2,42,45,11,350.00","2,42,45,11,350.00","74,20,000","24,000"
"09-Sep-2022","29-Sep-2022","XX","-","766.50","788.80","766.15","785.05","786.05","785.05","40,24,000","3,14,44,96,600.00","3,14,44,96,600.00","73,96,000","-29,000"
"08-Sep-2022","29-Sep-2022","XX","-","771.40","771.85","761.20","766.40","765.05","766.40","13,11,000","1,00,48,20,700.00","1,00,48,20,700.00","74,25,000","-1,09,000"
"07-Sep-2022","29-Sep-2022","XX","-","768.00","770.55","750.75","765.00","764.80","765.00","27,92,000","2,12,50,98,650.00","2,12,50,98,650.00","75,34,000","-1,10,000"
"06-Sep-2022","29-Sep-2022","XX","-","765.95","776.70","762.00","773.40","772.80","773.40","26,68,000","2,05,59,03,050.00","2,05,59,03,050.00","76,44,000","-3,62,000"
"05-Sep-2022","29-Sep-2022","XX","-","764.00","778.95","757.10","761.80","762.00","761.80","46,09,000","3,53,12,77,750.00","3,53,12,77,750.00","80,06,000","5,42,000"
"02-Sep-2022","29-Sep-2022","XX","-","748.50","763.80","748.00","761.90","761.00","761.90","33,03,000","2,50,99,59,950.00","2,50,99,59,950.00","74,64,000","1,64,000"
"01-Sep-2022","29-Sep-2022","XX","-","738.40","752.75","732.55","750.90","750.80","750.90","26,02,000","1,94,19,92,900.00","1,94,19,92,900.00","73,00,000","46,000"
"30-Aug-2022","29-Sep-2022","XX","-","729.30","746.95","729.30","744.85","743.30","744.85","22,27,000","1,65,04,63,250.00","1,65,04,63,250.00","72,54,000","39,000"
"30-Aug-2022","29-Sep-2022","XX","-","729.30","746.95","729.30","744.85","743.30","744.85","22,27,000","1,65,04,63,250.00","1,65,04,63,250.00","72,54,000","39,000"
"29-Aug-2022","29-Sep-2022","XX","-","717.50","728.85","711.30","726.80","728.00","726.80","17,16,000","1,23,89,42,500.00","1,23,89,42,500.00","72,15,000","34,000"
"26-Aug-2022","29-Sep-2022","XX","-","734.95","742.70","734.15","735.90","736.80","735.90","18,59,000","1,37,19,13,050.00","1,37,19,13,050.00","71,81,000","85,000"
"25-Aug-2022","29-Sep-2022","XX","-","736.45","740.40","727.00","729.05","729.60","729.05","27,95,000","2,04,88,37,350.00","2,04,88,37,350.00","70,96,000","4,20,000"
"25-Aug-2022","29-Sep-2022","XX","-","736.45","740.40","727.00","729.05","729.60","729.05","27,95,000","2,04,88,37,350.00","2,04,88,37,350.00","70,96,000","4,20,000"
"24-Aug-2022","29-Sep-2022","XX","-","742.00","742.00","726.35","736.35","736.50","736.35","32,24,000","2,36,63,78,700.00","2,36,63,78,700.00","66,76,000","15,26,000"
"23-Aug-2022","29-Sep-2022","XX","-","722.10","744.10","718.90","739.90","741.65","739.90","52,11,000","3,82,69,68,250.00","3,82,69,68,250.00","51,50,000","22,59,000"
"22-Aug-2022","29-Sep-2022","XX","-","731.20","734.95","720.65","722.15","722.55","722.15","33,61,000","2,44,20,14,000.00","2,44,20,14,000.00","28,91,000","18,09,000"
"19-Aug-2022","29-Sep-2022","XX","-","759.80","760.20","736.00","738.55","736.75","738.55","11,14,000","83,38,24,300.00","83,38,24,300.00","10,82,000","3,94,000"
"18-Aug-2022","29-Sep-2022","XX","-","768.90","772.40","754.20","756.20","757.55","756.20","9,05,000","68,84,35,600.00","68,84,35,600.00","6,88,000","3,22,000"
"17-Aug-2022","29-Sep-2022","XX","-","787.00","787.00","767.50","769.60","768.00","769.60","4,15,000","32,14,01,550.00","32,14,01,550.00","3,66,000","1,02,000"
"16-Aug-2022","29-Sep-2022","XX","-","797.00","798.40","783.00","784.25","785.15","784.25","3,74,000","29,49,48,150.00","29,49,48,150.00","2,64,000","41,000"
"12-Aug-2022","29-Sep-2022","XX","-","739.00","798.00","739.00","791.60","791.10","791.60","7,23,000","56,46,82,050.00","56,46,82,050.00","2,23,000","-34,000"
"11-Aug-2022","29-Sep-2022","XX","-","717.45","739.40","715.00","736.50","738.10","736.50","3,60,000","26,16,44,050.00","26,16,44,050.00","2,57,000","35,000"
"10-Aug-2022","29-Sep-2022","XX","-","713.00","717.70","710.30","713.50","712.50","713.50","1,03,000","7,35,07,700.00","7,35,07,700.00","2,22,000","12,000"
"08-Aug-2022","29-Sep-2022","XX","-","705.30","712.55","705.15","711.25","711.80","711.25","80,000","5,67,10,950.00","5,67,10,950.00","2,10,000","-4,000"
"05-Aug-2022","29-Sep-2022","XX","-","710.00","715.80","704.25","705.70","705.30","705.70","90,000","6,38,07,950.00","6,38,07,950.00","2,14,000","4,000"
"05-Aug-2022","29-Sep-2022","XX","-","710.00","715.80","704.25","705.70","705.30","705.70","90,000","6,38,07,950.00","6,38,07,950.00","2,14,000","4,000"
"04-Aug-2022","29-Sep-2022","XX","-","724.05","725.55","697.95","709.25","709.30","709.25","1,04,000","7,37,91,750.00","7,37,91,750.00","2,10,000","7,000"
"03-Aug-2022","29-Sep-2022","XX","-","740.30","740.30","712.70","722.25","722.95","722.25","1,12,000","8,10,40,650.00","8,10,40,650.00","2,03,000","21,000"
"03-Aug-2022","29-Sep-2022","XX","-","740.30","740.30","712.70","722.25","722.95","722.25","1,12,000","8,10,40,650.00","8,10,40,650.00","2,03,000","21,000"
"02-Aug-2022","29-Sep-2022","XX","-","742.20","753.00","741.35","750.30","748.95","750.30","98,000","7,32,65,850.00","7,32,65,850.00","1,82,000","15,000"
"02-Aug-2022","29-Sep-2022","XX","-","742.20","753.00","741.35","750.30","748.95","750.30","98,000","7,32,65,850.00","7,32,65,850.00","1,82,000","15,000"
"01-Aug-2022","29-Sep-2022","XX","-","739.95","750.25","736.25","748.75","747.60","748.75","1,19,000","8,85,52,300.00","8,85,52,300.00","1,67,000","36,000"
"01-Aug-2022","29-Sep-2022","XX","-","739.95","750.25","736.25","748.75","747.60","748.75","1,19,000","8,85,52,300.00","8,85,52,300.00","1,67,000","36,000"
"29-Jul-2022","29-Sep-2022","XX","-","733.20","738.50","724.50","731.90","732.75","731.90","1,21,000","8,86,48,300.00","8,86,48,300.00","1,31,000","32,000"
"29-Jul-2022","29-Sep-2022","XX","-","733.20","738.50","724.50","731.90","732.75","731.90","1,21,000","8,86,48,300.00","8,86,48,300.00","1,31,000","32,000"
"28-Jul-2022","29-Sep-2022","XX","-","706.50","727.50","706.00","724.50","727.50","724.50","59,000","4,24,56,750.00","4,24,56,750.00","99,000","16,000"
"28-Jul-2022","29-Sep-2022","XX","-","706.50","727.50","706.00","724.50","727.50","724.50","59,000","4,24,56,750.00","4,24,56,750.00","99,000","16,000"
"27-Jul-2022","29-Sep-2022","XX","-","694.00","704.10","694.00","702.90","702.60","702.90","27,000","1,89,20,600.00","1,89,20,600.00","83,000","11,000"
"26-Jul-2022","29-Sep-2022","XX","-","690.00","698.25","687.00","694.00","694.00","694.00","37,000","2,56,18,250.00","2,56,18,250.00","72,000","-2,000"
"25-Jul-2022","29-Sep-2022","XX","-","695.85","704.00","694.65","700.00","700.00","712.10","21,000","1,46,81,850.00","1,46,81,850.00","74,000","5,000"
"25-Jul-2022","29-Sep-2022","XX","-","695.85","704.00","694.65","700.00","700.00","712.10","21,000","1,46,81,850.00","1,46,81,850.00","74,000","5,000"
"22-Jul-2022","29-Sep-2022","XX","-","683.35","701.00","683.35","695.10","692.80","695.10","68,000","4,72,23,650.00","4,72,23,650.00","69,000","10,000"
"21-Jul-2022","29-Sep-2022","XX","-","677.70","682.60","675.30","680.20","680.20","680.20","16,000","1,08,40,250.00","1,08,40,250.00","59,000","-2,000"
"20-Jul-2022","29-Sep-2022","XX","-","671.00","677.35","670.50","673.75","674.90","673.75","16,000","1,07,68,300.00","1,07,68,300.00","61,000","-1,000"
"19-Jul-2022","29-Sep-2022","XX","-","650.00","662.95","650.00","661.90","661.65","661.90","23,000","1,51,53,900.00","1,51,53,900.00","62,000","5,000"
"18-Jul-2022","29-Sep-2022","XX","-","647.20","652.15","644.40","652.15","652.15","662.45","10,000","64,88,000.00","64,88,000.00","57,000","-"
"15-Jul-2022","29-Sep-2022","XX","-","635.40","639.00","635.40","635.50","635.50","649.55","5,000","31,85,000.00","31,85,000.00","57,000","2,000"
"14-Jul-2022","29-Sep-2022","XX","-","631.10","651.00","625.00","641.30","641.35","641.30","21,000","1,34,37,900.00","1,34,37,900.00","55,000","2,000"
"13-Jul-2022","29-Sep-2022","XX","-","625.00","631.00","623.50","628.65","628.65","645.55","10,000","62,65,600.00","62,65,600.00","53,000","7,000"
"12-Jul-2022","29-Sep-2022","XX","-","643.20","646.95","620.00","620.45","620.00","620.45","27,000","1,68,80,700.00","1,68,80,700.00","46,000","17,000"
"11-Jul-2022","29-Sep-2022","XX","-","640.50","646.25","640.50","646.15","646.20","646.15","15,000","96,60,400.00","96,60,400.00","29,000","10,000"
"08-Jul-2022","29-Sep-2022","XX","-","651.00","653.50","648.00","653.45","653.45","653.45","8,000","52,10,000.00","52,10,000.00","19,000","4,000"
"07-Jul-2022","29-Sep-2022","XX","-","648.00","651.60","641.95","641.95","641.95","672.85","9,000","58,30,450.00","58,30,450.00","15,000","6,000"
"06-Jul-2022","29-Sep-2022","XX","-","-","-","-","631.45","631.05","664.50","-","-","-","9,000","-"
"05-Jul-2022","29-Sep-2022","XX","-","633.90","634.50","631.05","631.45","631.05","631.45","5,000","31,65,200.00","31,65,200.00","9,000","4,000"
"04-Jul-2022","29-Sep-2022","XX","-","627.05","627.05","627.05","627.05","627.05","627.05","1,000","6,27,050.00","6,27,050.00","5,000","1,000"
"01-Jul-2022","29-Sep-2022","XX","-","624.00","627.85","622.65","627.85","627.85","654.10","4,000","25,02,350.00","25,02,350.00","4,000","4,000"
