"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Dec-2023","28-Dec-2023","XX","-","1,222.95","1,247.00","1,221.65","1,243.45","1,242.00","1,245.65","14,86,000","1,83,75,13,950.00","1,83,75,13,950.00","4,53,000","-6,30,000"
"27-Dec-2023","28-Dec-2023","XX","-","1,228.45","1,237.20","1,206.70","1,220.20","1,218.00","1,220.20","22,24,000","2,71,93,81,950.00","2,71,93,81,950.00","10,83,000","-13,66,500"
"26-Dec-2023","28-Dec-2023","XX","-","1,204.20","1,229.90","1,203.35","1,226.90","1,228.25","1,226.90","28,68,500","3,49,91,06,850.00","3,49,91,06,850.00","24,49,500","-18,10,500"
"22-Dec-2023","28-Dec-2023","XX","-","1,190.40","1,208.35","1,185.10","1,206.10","1,205.45","1,206.10","27,87,500","3,33,92,37,950.00","3,33,92,37,950.00","42,60,000","-11,53,000"
"21-Dec-2023","28-Dec-2023","XX","-","1,172.25","1,191.80","1,157.00","1,189.00","1,190.65","1,189.00","23,86,500","2,81,39,18,625.00","2,81,39,18,625.00","54,13,000","-3,59,500"
"20-Dec-2023","28-Dec-2023","XX","-","1,225.75","1,229.25","1,176.95","1,181.05","1,179.95","1,181.05","29,80,500","3,58,72,63,450.00","3,58,72,63,450.00","57,72,500","-3,83,500"
"19-Dec-2023","28-Dec-2023","XX","-","1,206.85","1,234.40","1,198.35","1,222.45","1,223.00","1,222.45","28,68,000","3,50,06,38,675.00","3,50,06,38,675.00","61,56,000","72,000"
"18-Dec-2023","28-Dec-2023","XX","-","1,199.60","1,213.90","1,186.00","1,207.20","1,207.95","1,207.20","24,62,500","2,96,18,85,500.00","2,96,18,85,500.00","60,84,000","-1,01,500"
"15-Dec-2023","28-Dec-2023","XX","-","1,212.00","1,212.20","1,192.10","1,199.95","1,199.65","1,199.95","12,09,500","1,45,24,90,150.00","1,45,24,90,150.00","61,85,500","-35,000"
"14-Dec-2023","28-Dec-2023","XX","-","1,200.00","1,209.00","1,194.20","1,205.15","1,200.00","1,205.15","15,37,500","1,84,88,29,400.00","1,84,88,29,400.00","62,20,500","65,500"
"13-Dec-2023","28-Dec-2023","XX","-","1,196.95","1,203.55","1,183.10","1,199.00","1,199.80","1,199.00","11,62,500","1,38,70,81,750.00","1,38,70,81,750.00","61,55,000","-1,27,000"
"12-Dec-2023","28-Dec-2023","XX","-","1,202.50","1,214.45","1,185.20","1,192.85","1,193.60","1,192.85","18,54,500","2,22,68,35,375.00","2,22,68,35,375.00","62,82,000","-1,07,000"
"11-Dec-2023","28-Dec-2023","XX","-","1,184.65","1,204.70","1,178.45","1,197.90","1,199.40","1,197.90","28,43,000","3,40,01,06,125.00","3,40,01,06,125.00","63,89,000","-10,000"
"08-Dec-2023","28-Dec-2023","XX","-","1,173.55","1,183.95","1,166.60","1,180.40","1,180.00","1,180.40","18,29,500","2,15,32,17,075.00","2,15,32,17,075.00","63,99,000","-1,78,500"
"07-Dec-2023","28-Dec-2023","XX","-","1,176.10","1,183.65","1,169.00","1,172.40","1,172.10","1,172.40","11,31,000","1,32,92,81,050.00","1,32,92,81,050.00","65,77,500","-77,500"
"06-Dec-2023","28-Dec-2023","XX","-","1,179.55","1,182.45","1,168.20","1,176.05","1,176.05","1,176.05","11,85,500","1,39,28,94,750.00","1,39,28,94,750.00","66,55,000","-70,000"
"05-Dec-2023","28-Dec-2023","XX","-","1,173.95","1,191.45","1,161.50","1,174.25","1,173.70","1,174.25","26,11,000","3,06,99,52,975.00","3,06,99,52,975.00","67,25,000","-3,22,000"
"04-Dec-2023","28-Dec-2023","XX","-","1,174.80","1,182.75","1,161.10","1,165.20","1,165.55","1,165.20","28,41,500","3,31,46,25,575.00","3,31,46,25,575.00","70,47,000","3,14,000"
