"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"29-Mar-2023","29-Mar-2023","XX","-","172.40","174.80","171.50","174.10","174.75","174.00","3,08,76,900","5,32,51,36,650.00","5,32,51,36,650.00","73,01,700","-1,70,88,600"
"28-Mar-2023","29-Mar-2023","XX","-","171.60","172.90","170.95","171.75","171.80","171.75","2,45,21,400","4,21,10,96,445.00","4,21,10,96,445.00","2,43,90,300","-1,03,17,000"
"27-Mar-2023","29-Mar-2023","XX","-","174.10","174.35","171.00","171.45","171.25","171.45","3,37,44,000","5,81,22,17,325.00","5,81,22,17,325.00","3,47,07,300","-1,82,68,500"
"24-Mar-2023","29-Mar-2023","XX","-","174.90","175.00","172.75","173.15","173.25","173.15","1,98,58,800","3,45,18,27,660.00","3,45,18,27,660.00","5,29,75,800","-83,84,700"
"23-Mar-2023","29-Mar-2023","XX","-","175.05","176.10","174.25","174.95","174.80","174.95","1,07,84,400","1,88,98,78,320.00","1,88,98,78,320.00","6,13,60,500","-17,67,000"
"22-Mar-2023","29-Mar-2023","XX","-","177.65","177.95","174.50","175.05","174.90","175.05","1,43,92,500","2,52,66,44,985.00","2,52,66,44,985.00","6,31,27,500","-36,70,800"
"21-Mar-2023","29-Mar-2023","XX","-","177.25","177.75","175.60","177.35","177.20","177.35","1,47,23,100","2,60,37,13,545.00","2,60,37,13,545.00","6,67,98,300","-33,00,300"
"20-Mar-2023","29-Mar-2023","XX","-","177.50","177.65","175.55","176.50","176.50","176.50","1,30,87,200","2,31,11,01,480.00","2,31,11,01,480.00","7,00,98,600","-27,30,300"
"17-Mar-2023","29-Mar-2023","XX","-","181.85","182.00","176.95","177.75","177.35","177.75","5,75,24,400","10,28,78,72,145.00","10,28,78,72,145.00","7,28,28,900","-1,18,67,400"
"16-Mar-2023","29-Mar-2023","XX","-","178.10","180.30","177.40","179.90","180.10","179.90","1,86,56,100","3,33,88,78,170.00","3,33,88,78,170.00","8,46,96,300","-11,34,300"
"15-Mar-2023","29-Mar-2023","XX","-","179.40","179.75","178.10","178.60","178.45","178.60","1,06,53,300","1,90,85,94,840.00","1,90,85,94,840.00","8,58,30,600","-68,400"
"14-Mar-2023","29-Mar-2023","XX","-","179.70","181.30","178.20","178.75","178.80","178.75","1,55,32,500","2,79,06,93,780.00","2,79,06,93,780.00","8,58,99,000","-13,73,700"
"13-Mar-2023","29-Mar-2023","XX","-","180.95","181.70","179.75","180.00","180.05","180.00","1,78,58,100","3,22,39,90,395.00","3,22,39,90,395.00","8,72,72,700","-37,73,400"
"10-Mar-2023","29-Mar-2023","XX","-","179.40","181.30","178.75","181.10","181.00","181.10","2,16,25,800","3,89,99,17,200.00","3,89,99,17,200.00","9,10,46,100","10,43,100"
"09-Mar-2023","29-Mar-2023","XX","-","179.50","182.45","178.75","180.30","180.40","180.30","2,95,65,900","5,35,43,11,245.00","5,35,43,11,245.00","9,00,03,000","40,24,200"
"08-Mar-2023","29-Mar-2023","XX","-","176.95","179.55","176.55","179.35","179.40","179.35","2,56,67,100","4,58,83,96,260.00","4,58,83,96,260.00","8,59,78,800","15,84,600"
"06-Mar-2023","29-Mar-2023","XX","-","173.80","178.30","173.80","177.45","177.40","177.45","2,79,58,500","4,94,21,47,665.00","4,94,21,47,665.00","8,43,94,200","55,29,000"
"03-Mar-2023","29-Mar-2023","XX","-","172.55","175.80","172.55","173.80","173.65","173.80","2,32,50,300","4,05,40,32,660.00","4,05,40,32,660.00","7,88,65,200","23,02,800"
"02-Mar-2023","29-Mar-2023","XX","-","172.75","173.10","171.35","172.00","172.45","172.00","1,47,11,700","2,53,14,56,355.00","2,53,14,56,355.00","7,65,62,400","32,03,400"
"01-Mar-2023","29-Mar-2023","XX","-","171.80","173.80","171.30","173.15","173.00","173.15","1,17,19,200","2,02,15,48,320.00","2,02,15,48,320.00","7,33,59,000","3,53,400"
"28-Feb-2023","29-Mar-2023","XX","-","173.75","173.85","171.35","171.75","171.50","171.75","1,52,70,300","2,63,00,96,850.00","2,63,00,96,850.00","7,30,05,600","16,98,600"
"27-Feb-2023","29-Mar-2023","XX","-","171.95","174.25","171.35","173.10","173.15","173.10","1,93,68,600","3,35,19,18,630.00","3,35,19,18,630.00","7,13,07,000","-13,50,900"
"24-Feb-2023","29-Mar-2023","XX","-","171.40","172.20","170.50","171.95","172.00","171.95","85,89,900","1,47,37,99,125.00","1,47,37,99,125.00","7,26,57,900","2,67,900"
"23-Feb-2023","29-Mar-2023","XX","-","171.05","172.90","170.10","170.90","171.40","170.90","2,63,62,500","4,52,14,32,090.00","4,52,14,32,090.00","7,23,90,000","75,81,000"
"22-Feb-2023","29-Mar-2023","XX","-","173.75","174.10","169.75","171.60","171.60","171.60","3,41,25,900","5,84,99,37,645.00","5,84,99,37,645.00","6,48,09,000","1,39,82,100"
"21-Feb-2023","29-Mar-2023","XX","-","171.00","175.00","170.75","174.25","174.20","174.25","4,16,32,800","7,21,37,88,330.00","7,21,37,88,330.00","5,08,26,900","2,02,00,800"
"20-Feb-2023","29-Mar-2023","XX","-","169.00","171.15","169.00","169.30","169.50","169.30","2,89,44,600","4,91,39,89,665.00","4,91,39,89,665.00","3,06,26,100","2,35,52,400"
"17-Feb-2023","29-Mar-2023","XX","-","168.70","170.95","168.05","169.45","169.10","169.45","69,48,300","1,17,89,06,205.00","1,17,89,06,205.00","70,73,700","32,94,600"
"16-Feb-2023","29-Mar-2023","XX","-","167.40","168.75","167.00","168.50","168.35","168.50","24,73,800","41,52,25,050.00","41,52,25,050.00","37,79,100","7,06,800"
"15-Feb-2023","29-Mar-2023","XX","-","167.60","167.90","165.60","166.90","166.80","166.90","22,17,300","36,95,56,080.00","36,95,56,080.00","30,72,300","5,30,100"
"14-Feb-2023","29-Mar-2023","XX","-","169.55","169.55","166.45","167.60","167.70","167.60","17,61,300","29,46,74,610.00","29,46,74,610.00","25,42,200","5,87,100"
"13-Feb-2023","29-Mar-2023","XX","-","167.20","169.85","167.15","169.30","169.20","169.30","9,34,800","15,73,93,245.00","15,73,93,245.00","19,55,100","2,56,500"
"10-Feb-2023","29-Mar-2023","XX","-","167.55","167.55","165.90","166.60","166.60","166.60","5,35,800","8,92,26,090.00","8,92,26,090.00","16,98,600","1,19,700"
"09-Feb-2023","29-Mar-2023","XX","-","167.70","168.25","166.25","167.80","167.75","167.80","4,50,300","7,54,49,190.00","7,54,49,190.00","15,78,900","-"
"08-Feb-2023","29-Mar-2023","XX","-","167.25","167.75","166.10","167.25","167.10","167.25","4,44,600","7,41,75,525.00","7,41,75,525.00","15,78,900","62,700"
"07-Feb-2023","29-Mar-2023","XX","-","167.75","169.45","166.25","167.05","167.25","167.05","6,27,000","10,50,92,610.00","10,50,92,610.00","15,16,200","1,65,300"
"06-Feb-2023","29-Mar-2023","XX","-","166.80","168.50","166.00","167.80","167.70","167.80","6,49,800","10,87,46,310.00","10,87,46,310.00","13,50,900","45,600"
"03-Feb-2023","29-Mar-2023","XX","-","166.80","168.30","164.50","167.55","166.80","167.55","9,80,400","16,29,51,885.00","16,29,51,885.00","13,05,300","34,200"
"02-Feb-2023","29-Mar-2023","XX","-","171.55","172.00","167.65","168.95","169.05","168.95","5,35,800","9,05,08,305.00","9,05,08,305.00","12,71,100","62,700"
"01-Feb-2023","29-Mar-2023","XX","-","174.30","175.60","169.25","171.90","172.20","171.90","11,62,800","20,13,96,675.00","20,13,96,675.00","12,08,400","1,59,600"
"31-Jan-2023","29-Mar-2023","XX","-","170.50","174.60","169.65","173.55","173.30","173.55","9,86,100","17,00,83,440.00","17,00,83,440.00","10,48,800","1,71,000"
"30-Jan-2023","29-Mar-2023","XX","-","170.30","174.25","168.75","171.20","171.05","171.20","11,51,400","19,72,57,335.00","19,72,57,335.00","8,77,800","91,200"
"27-Jan-2023","29-Mar-2023","XX","-","168.10","168.10","164.65","166.85","166.50","166.85","5,58,600","9,28,50,150.00","9,28,50,150.00","7,86,600","57,000"
"25-Jan-2023","29-Mar-2023","XX","-","167.25","167.95","166.25","167.50","167.80","167.50","5,41,500","9,03,41,010.00","9,03,41,010.00","7,29,600","2,90,700"
"24-Jan-2023","29-Mar-2023","XX","-","169.00","169.20","167.35","167.95","167.75","167.95","3,02,100","5,08,43,145.00","5,08,43,145.00","4,38,900","2,05,200"
"23-Jan-2023","29-Mar-2023","XX","-","167.70","168.65","167.70","168.50","168.20","168.50","1,02,600","1,72,76,415.00","1,72,76,415.00","2,33,700","74,100"
