"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"29-Sep-2022","29-Sep-2022","XX","-","159.45","162.20","158.70","159.50","159.35","159.55","1,41,13,200","2,25,96,14,805.00","2,25,96,14,805.00","34,48,500","-49,41,900"
"29-Sep-2022","29-Sep-2022","XX","-","159.45","162.20","158.70","159.50","159.35","159.55","1,41,13,200","2,25,96,14,805.00","2,25,96,14,805.00","34,48,500","-49,41,900"
"28-Sep-2022","29-Sep-2022","XX","-","155.90","159.30","154.80","158.05","157.50","158.05","3,32,25,300","5,23,35,08,865.00","5,23,35,08,865.00","83,90,400","-1,53,10,200"
"27-Sep-2022","29-Sep-2022","XX","-","160.00","161.45","157.70","158.95","159.30","158.95","3,08,42,700","4,91,84,27,970.00","4,91,84,27,970.00","2,37,00,600","-1,77,38,400"
"26-Sep-2022","29-Sep-2022","XX","-","162.00","163.85","156.75","158.75","158.80","158.75","4,63,23,900","7,40,41,61,775.00","7,40,41,61,775.00","4,14,39,000","-1,75,84,500"
"23-Sep-2022","29-Sep-2022","XX","-","168.65","168.70","162.65","163.85","163.40","163.85","2,26,23,300","3,73,71,27,195.00","3,73,71,27,195.00","5,90,23,500","-54,26,400"
"22-Sep-2022","29-Sep-2022","XX","-","167.90","169.80","167.30","168.90","169.15","168.90","1,52,87,400","2,57,50,81,020.00","2,57,50,81,020.00","6,44,49,900","-22,28,700"
"21-Sep-2022","29-Sep-2022","XX","-","171.25","172.30","168.50","169.05","168.90","169.05","1,44,38,100","2,45,12,54,220.00","2,45,12,54,220.00","6,66,78,600","-31,40,700"
"20-Sep-2022","29-Sep-2022","XX","-","171.70","173.20","171.55","171.95","171.95","171.95","1,24,71,600","2,15,02,13,850.00","2,15,02,13,850.00","6,98,19,300","-6,72,600"
"19-Sep-2022","29-Sep-2022","XX","-","173.70","174.60","170.80","171.20","171.20","171.20","1,57,49,100","2,71,38,13,035.00","2,71,38,13,035.00","7,04,91,900","-20,29,200"
"16-Sep-2022","29-Sep-2022","XX","-","174.60","174.95","171.50","173.00","173.45","173.00","3,18,17,400","5,50,39,80,420.00","5,50,39,80,420.00","7,25,21,100","-53,18,100"
"15-Sep-2022","29-Sep-2022","XX","-","174.70","176.30","172.95","175.35","175.20","175.35","4,76,91,900","8,33,15,44,365.00","8,33,15,44,365.00","7,78,39,200","-8,83,500"
"15-Sep-2022","29-Sep-2022","XX","-","174.70","176.30","172.95","175.35","175.20","175.35","4,76,91,900","8,33,15,44,365.00","8,33,15,44,365.00","7,78,39,200","-8,83,500"
"14-Sep-2022","29-Sep-2022","XX","-","165.80","173.40","165.80","172.80","173.25","172.80","5,10,49,200","8,73,54,04,185.00","8,73,54,04,185.00","7,87,22,700","-21,83,100"
"13-Sep-2022","29-Sep-2022","XX","-","167.05","169.35","166.10","167.95","167.90","167.95","2,27,65,800","3,82,58,02,665.00","3,82,58,02,665.00","8,09,05,800","-26,79,000"
"12-Sep-2022","29-Sep-2022","XX","-","167.90","168.35","166.05","166.80","166.90","166.80","1,86,56,100","3,11,77,41,825.00","3,11,77,41,825.00","8,35,84,800","-41,15,400"
"09-Sep-2022","29-Sep-2022","XX","-","167.85","169.80","166.70","167.10","166.90","167.10","2,66,36,100","4,48,10,79,510.00","4,48,10,79,510.00","8,77,00,200","-20,97,600"
"08-Sep-2022","29-Sep-2022","XX","-","168.95","169.55","166.35","167.25","167.40","167.25","1,86,50,400","3,12,84,01,680.00","3,12,84,01,680.00","8,97,97,800","-33,28,800"
"07-Sep-2022","29-Sep-2022","XX","-","168.65","170.45","167.20","167.80","167.80","167.80","2,63,96,700","4,45,05,37,200.00","4,45,05,37,200.00","9,31,26,600","-21,03,300"
"06-Sep-2022","29-Sep-2022","XX","-","165.80","169.25","165.15","168.85","168.50","168.85","4,18,03,800","7,00,74,26,955.00","7,00,74,26,955.00","9,52,29,900","-13,85,100"
"05-Sep-2022","29-Sep-2022","XX","-","162.90","165.50","162.80","165.10","165.10","165.10","2,26,00,500","3,71,88,88,905.00","3,71,88,88,905.00","9,66,15,000","-21,54,600"
"02-Sep-2022","29-Sep-2022","XX","-","163.45","166.65","162.05","162.45","162.50","162.45","3,38,35,200","5,55,50,46,720.00","5,55,50,46,720.00","9,87,69,600","15,16,200"
"01-Sep-2022","29-Sep-2022","XX","-","162.10","165.20","161.20","161.70","161.90","161.70","2,75,53,800","4,48,41,83,730.00","4,48,41,83,730.00","9,72,53,400","35,34,000"
"30-Aug-2022","29-Sep-2022","XX","-","162.80","166.40","162.45","164.70","164.50","164.70","2,59,12,200","4,25,94,99,705.00","4,25,94,99,705.00","9,37,19,400","-34,54,200"
"30-Aug-2022","29-Sep-2022","XX","-","162.80","166.40","162.45","164.70","164.50","164.70","2,59,12,200","4,25,94,99,705.00","4,25,94,99,705.00","9,37,19,400","-34,54,200"
"29-Aug-2022","29-Sep-2022","XX","-","162.10","164.20","161.75","162.00","161.80","162.00","1,86,96,000","3,04,43,72,850.00","3,04,43,72,850.00","9,71,73,600","25,02,300"
"26-Aug-2022","29-Sep-2022","XX","-","159.95","165.90","159.95","164.45","164.60","164.45","4,50,12,900","7,34,59,58,790.00","7,34,59,58,790.00","9,46,71,300","60,19,200"
"25-Aug-2022","29-Sep-2022","XX","-","162.05","163.00","159.60","160.10","160.30","160.10","4,30,06,500","6,94,09,47,570.00","6,94,09,47,570.00","8,86,52,100","1,82,79,900"
"25-Aug-2022","29-Sep-2022","XX","-","162.05","163.00","159.60","160.10","160.30","160.10","4,30,06,500","6,94,09,47,570.00","6,94,09,47,570.00","8,86,52,100","1,82,79,900"
"24-Aug-2022","29-Sep-2022","XX","-","160.25","163.70","159.15","162.05","161.55","162.05","4,84,95,600","7,86,49,76,280.00","7,86,49,76,280.00","7,03,72,200","2,29,76,700"
"23-Aug-2022","29-Sep-2022","XX","-","156.95","160.50","156.65","159.95","160.35","159.95","3,16,92,000","5,03,49,65,895.00","5,03,49,65,895.00","4,73,95,500","1,81,43,100"
"22-Aug-2022","29-Sep-2022","XX","-","157.95","159.90","157.15","157.60","157.70","157.60","2,25,20,700","3,56,77,75,350.00","3,56,77,75,350.00","2,92,52,400","1,37,99,700"
"19-Aug-2022","29-Sep-2022","XX","-","162.25","162.85","158.40","158.90","158.60","158.90","85,50,000","1,36,67,28,045.00","1,36,67,28,045.00","1,54,52,700","44,34,600"
"18-Aug-2022","29-Sep-2022","XX","-","162.60","163.60","161.25","162.25","162.55","162.25","59,73,600","96,96,00,495.00","96,96,00,495.00","1,10,18,100","25,99,200"
"17-Aug-2022","29-Sep-2022","XX","-","161.15","164.70","161.00","162.50","162.70","162.50","45,88,500","75,00,53,595.00","75,00,53,595.00","84,18,900","12,76,800"
"16-Aug-2022","29-Sep-2022","XX","-","160.10","160.35","158.30","160.10","160.10","160.10","15,84,600","25,28,53,995.00","25,28,53,995.00","71,42,100","1,48,200"
"12-Aug-2022","29-Sep-2022","XX","-","153.45","160.10","153.45","159.55","159.95","159.55","15,96,000","25,26,35,685.00","25,26,35,685.00","69,93,900","1,25,400"
"11-Aug-2022","29-Sep-2022","XX","-","157.55","157.70","154.25","154.65","154.90","154.65","5,87,100","9,12,70,680.00","9,12,70,680.00","68,68,500","91,200"
"10-Aug-2022","29-Sep-2022","XX","-","157.00","157.95","156.00","157.10","156.90","157.10","6,61,200","10,36,86,990.00","10,36,86,990.00","67,77,300","1,14,000"
"08-Aug-2022","29-Sep-2022","XX","-","153.55","158.05","152.85","157.55","157.70","157.55","10,43,100","16,33,34,925.00","16,33,34,925.00","66,63,300","-"
"05-Aug-2022","29-Sep-2022","XX","-","152.85","154.65","152.30","153.80","153.40","153.80","11,97,000","18,39,41,850.00","18,39,41,850.00","66,63,300","1,08,300"
"05-Aug-2022","29-Sep-2022","XX","-","152.85","154.65","152.30","153.80","153.40","153.80","11,97,000","18,39,41,850.00","18,39,41,850.00","66,63,300","1,08,300"
"04-Aug-2022","29-Sep-2022","XX","-","158.10","158.10","151.00","152.40","152.45","152.40","11,00,100","16,87,39,095.00","16,87,39,095.00","65,55,000","57,000"
"03-Aug-2022","29-Sep-2022","XX","-","157.70","158.60","155.25","157.30","157.20","157.30","7,98,000","12,49,66,515.00","12,49,66,515.00","64,98,000","-22,800"
"03-Aug-2022","29-Sep-2022","XX","-","157.70","158.60","155.25","157.30","157.20","157.30","7,98,000","12,49,66,515.00","12,49,66,515.00","64,98,000","-22,800"
