"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"29-Sep-2022","29-Sep-2022","XX","-","3,041.35","3,049.80","2,980.55","2,995.75","3,000.00","2,997.30","35,75,850","10,77,05,94,487.50","10,77,05,94,487.50","4,76,400","-19,89,150"
"29-Sep-2022","29-Sep-2022","XX","-","3,041.35","3,049.80","2,980.55","2,995.75","3,000.00","2,997.30","35,75,850","10,77,05,94,487.50","10,77,05,94,487.50","4,76,400","-19,89,150"
"28-Sep-2022","29-Sep-2022","XX","-","2,995.40","3,045.00","2,991.00","3,030.80","3,025.15","3,030.80","42,42,450","12,85,56,74,392.50","12,85,56,74,392.50","24,65,550","-23,84,400"
"27-Sep-2022","29-Sep-2022","XX","-","3,014.85","3,026.50","2,981.95","3,019.60","3,024.05","3,019.60","38,23,800","11,48,97,33,465.00","11,48,97,33,465.00","48,49,950","-20,42,700"
"26-Sep-2022","29-Sep-2022","XX","-","2,968.10","3,034.10","2,931.95","3,001.60","3,005.90","3,001.60","45,43,500","13,57,03,80,592.50","13,57,03,80,592.50","68,92,650","-20,12,700"
"23-Sep-2022","29-Sep-2022","XX","-","3,017.55","3,031.50","2,981.20","2,986.15","2,988.10","2,986.15","31,05,900","9,34,08,03,427.50","9,34,08,03,427.50","89,05,350","-6,26,250"
"22-Sep-2022","29-Sep-2022","XX","-","2,995.00","3,039.85","2,983.10","3,018.20","3,018.00","3,018.20","26,26,800","7,93,18,09,672.50","7,93,18,09,672.50","95,31,600","-3,28,200"
"21-Sep-2022","29-Sep-2022","XX","-","3,027.05","3,041.40","3,006.05","3,010.70","3,012.80","3,010.70","22,17,900","6,70,28,69,887.50","6,70,28,69,887.50","98,59,800","-2,97,150"
"20-Sep-2022","29-Sep-2022","XX","-","3,052.55","3,086.95","3,032.50","3,041.90","3,034.50","3,041.90","23,82,000","7,30,03,19,482.50","7,30,03,19,482.50","1,01,56,950","-8,18,250"
"19-Sep-2022","29-Sep-2022","XX","-","3,031.20","3,053.90","2,996.05","3,032.70","3,031.00","3,032.70","23,77,950","7,20,47,41,492.50","7,20,47,41,492.50","1,09,75,200","-2,08,800"
"16-Sep-2022","29-Sep-2022","XX","-","3,082.45","3,099.55","3,011.10","3,018.80","3,020.90","3,018.80","43,14,000","13,10,16,33,037.50","13,10,16,33,037.50","1,11,84,000","-50,100"
"15-Sep-2022","29-Sep-2022","XX","-","3,140.25","3,144.30","3,102.80","3,110.05","3,112.15","3,110.05","23,15,100","7,21,66,52,385.00","7,21,66,52,385.00","1,12,34,100","-1,70,850"
"15-Sep-2022","29-Sep-2022","XX","-","3,140.25","3,144.30","3,102.80","3,110.05","3,112.15","3,110.05","23,15,100","7,21,66,52,385.00","7,21,66,52,385.00","1,12,34,100","-1,70,850"
"14-Sep-2022","29-Sep-2022","XX","-","3,159.90","3,159.90","3,119.55","3,130.50","3,133.95","3,130.50","45,93,600","14,38,63,36,995.00","14,38,63,36,995.00","1,14,04,950","5,43,150"
"13-Sep-2022","29-Sep-2022","XX","-","3,263.30","3,271.80","3,234.00","3,240.55","3,242.00","3,240.55","20,67,300","6,71,47,84,485.00","6,71,47,84,485.00","1,08,61,800","-45,150"
"12-Sep-2022","29-Sep-2022","XX","-","3,245.05","3,281.00","3,238.00","3,258.00","3,250.00","3,258.00","24,99,300","8,15,71,03,162.50","8,15,71,03,162.50","1,09,06,950","-2,18,100"
"09-Sep-2022","29-Sep-2022","XX","-","3,202.50","3,244.00","3,176.20","3,228.40","3,233.25","3,228.40","29,23,950","9,39,17,12,430.00","9,39,17,12,430.00","1,11,25,050","-83,100"
"08-Sep-2022","29-Sep-2022","XX","-","3,175.05","3,192.00","3,167.95","3,178.75","3,174.60","3,178.75","18,55,050","5,89,65,30,802.50","5,89,65,30,802.50","1,12,08,150","-3,60,150"
"07-Sep-2022","29-Sep-2022","XX","-","3,110.55","3,174.00","3,110.30","3,159.40","3,163.95","3,159.40","19,77,300","6,22,22,44,312.50","6,22,22,44,312.50","1,15,68,300","-1,08,750"
"06-Sep-2022","29-Sep-2022","XX","-","3,153.90","3,158.10","3,121.20","3,141.70","3,142.45","3,141.70","16,63,650","5,22,22,77,172.50","5,22,22,77,172.50","1,16,77,050","1,80,000"
"05-Sep-2022","29-Sep-2022","XX","-","3,138.60","3,164.00","3,126.80","3,151.60","3,156.10","3,151.60","19,86,900","6,26,37,57,960.00","6,26,37,57,960.00","1,14,97,050","-1,80,600"
"02-Sep-2022","29-Sep-2022","XX","-","3,170.00","3,170.00","3,127.25","3,138.55","3,135.00","3,138.55","19,21,800","6,04,34,19,315.00","6,04,34,19,315.00","1,16,77,650","35,400"
"01-Sep-2022","29-Sep-2022","XX","-","3,199.80","3,199.80","3,128.25","3,145.65","3,151.90","3,145.65","30,65,700","9,65,28,48,352.50","9,65,28,48,352.50","1,16,42,250","5,45,850"
"30-Aug-2022","29-Sep-2022","XX","-","3,161.90","3,236.50","3,152.30","3,228.80","3,230.05","3,228.80","24,50,250","7,83,88,65,585.00","7,83,88,65,585.00","1,10,96,400","-1,85,700"
"30-Aug-2022","29-Sep-2022","XX","-","3,161.90","3,236.50","3,152.30","3,228.80","3,230.05","3,228.80","24,50,250","7,83,88,65,585.00","7,83,88,65,585.00","1,10,96,400","-1,85,700"
"29-Aug-2022","29-Sep-2022","XX","-","3,171.15","3,171.15","3,092.00","3,142.45","3,146.95","3,142.45","26,09,400","8,16,99,56,722.50","8,16,99,56,722.50","1,12,82,100","2,23,050"
"26-Aug-2022","29-Sep-2022","XX","-","3,253.00","3,274.50","3,237.10","3,242.75","3,245.55","3,242.75","17,41,350","5,66,95,71,667.50","5,66,95,71,667.50","1,10,59,050","21,750"
"25-Aug-2022","29-Sep-2022","XX","-","3,292.15","3,297.95","3,229.80","3,236.50","3,239.00","3,236.50","44,57,550","14,54,48,35,350.00","14,54,48,35,350.00","1,10,37,300","22,81,500"
"25-Aug-2022","29-Sep-2022","XX","-","3,292.15","3,297.95","3,229.80","3,236.50","3,239.00","3,236.50","44,57,550","14,54,48,35,350.00","14,54,48,35,350.00","1,10,37,300","22,81,500"
"24-Aug-2022","29-Sep-2022","XX","-","3,306.05","3,329.55","3,272.30","3,277.40","3,280.00","3,277.40","31,90,050","10,47,87,24,630.00","10,47,87,24,630.00","87,55,800","19,67,550"
"23-Aug-2022","29-Sep-2022","XX","-","3,348.40","3,358.95","3,291.90","3,312.10","3,327.85","3,312.10","41,41,200","13,75,68,07,140.00","13,75,68,07,140.00","67,88,250","27,96,600"
"22-Aug-2022","29-Sep-2022","XX","-","3,386.30","3,405.90","3,360.55","3,366.95","3,366.95","3,366.95","34,15,200","11,55,27,49,477.50","11,55,27,49,477.50","39,91,650","22,66,050"
"19-Aug-2022","29-Sep-2022","XX","-","3,391.05","3,446.20","3,391.00","3,407.45","3,401.65","3,407.45","11,40,900","3,89,93,14,335.00","3,89,93,14,335.00","17,25,600","5,25,600"
"18-Aug-2022","29-Sep-2022","XX","-","3,422.05","3,422.05","3,384.65","3,407.25","3,412.35","3,407.25","5,65,350","1,92,20,61,472.50","1,92,20,61,472.50","12,00,000","2,76,600"
"17-Aug-2022","29-Sep-2022","XX","-","3,412.00","3,446.10","3,398.85","3,429.70","3,428.00","3,429.70","3,80,250","1,30,44,23,490.00","1,30,44,23,490.00","9,23,400","1,48,950"
"16-Aug-2022","29-Sep-2022","XX","-","3,429.95","3,436.00","3,411.55","3,418.60","3,420.50","3,418.60","3,07,950","1,05,37,04,640.00","1,05,37,04,640.00","7,74,450","1,72,200"
"12-Aug-2022","29-Sep-2022","XX","-","3,445.00","3,445.00","3,404.15","3,419.50","3,418.00","3,419.50","1,69,800","58,04,68,102.50","58,04,68,102.50","6,02,250","39,900"
"11-Aug-2022","29-Sep-2022","XX","-","3,416.20","3,450.90","3,399.00","3,442.80","3,440.40","3,442.80","2,25,150","77,35,96,117.50","77,35,96,117.50","5,62,350","31,350"
"10-Aug-2022","29-Sep-2022","XX","-","3,390.30","3,390.30","3,360.00","3,376.75","3,372.45","3,376.75","1,25,550","42,32,95,717.50","42,32,95,717.50","5,31,000","6,750"
"08-Aug-2022","29-Sep-2022","XX","-","3,393.00","3,401.00","3,360.85","3,398.40","3,398.55","3,398.40","1,18,500","40,09,49,917.50","40,09,49,917.50","5,24,250","6,150"
"05-Aug-2022","29-Sep-2022","XX","-","3,395.00","3,408.00","3,382.00","3,391.05","3,391.00","3,391.05","1,40,700","47,74,61,475.00","47,74,61,475.00","5,18,100","24,300"
"05-Aug-2022","29-Sep-2022","XX","-","3,395.00","3,408.00","3,382.00","3,391.05","3,391.00","3,391.05","1,40,700","47,74,61,475.00","47,74,61,475.00","5,18,100","24,300"
"04-Aug-2022","29-Sep-2022","XX","-","3,378.00","3,411.05","3,337.85","3,383.30","3,383.55","3,383.30","2,02,800","68,49,59,025.00","68,49,59,025.00","4,93,800","28,350"
"03-Aug-2022","29-Sep-2022","XX","-","3,322.05","3,373.35","3,309.05","3,362.80","3,360.60","3,362.80","1,75,200","58,72,31,460.00","58,72,31,460.00","4,65,450","45,600"
"03-Aug-2022","29-Sep-2022","XX","-","3,322.05","3,373.35","3,309.05","3,362.80","3,360.60","3,362.80","1,75,200","58,72,31,460.00","58,72,31,460.00","4,65,450","45,600"
"02-Aug-2022","29-Sep-2022","XX","-","3,344.90","3,344.90","3,303.00","3,318.60","3,315.00","3,318.60","78,750","26,13,90,750.00","26,13,90,750.00","4,19,850","7,350"
"02-Aug-2022","29-Sep-2022","XX","-","3,344.90","3,344.90","3,303.00","3,318.60","3,315.00","3,318.60","78,750","26,13,90,750.00","26,13,90,750.00","4,19,850","7,350"
"01-Aug-2022","29-Sep-2022","XX","-","3,329.85","3,339.00","3,298.10","3,329.65","3,333.00","3,329.65","1,15,800","38,46,76,717.50","38,46,76,717.50","4,12,500","17,250"
"01-Aug-2022","29-Sep-2022","XX","-","3,329.85","3,339.00","3,298.10","3,329.65","3,333.00","3,329.65","1,15,800","38,46,76,717.50","38,46,76,717.50","4,12,500","17,250"
"29-Jul-2022","29-Sep-2022","XX","-","3,306.70","3,338.75","3,297.40","3,325.65","3,326.60","3,325.65","1,68,750","56,01,58,470.00","56,01,58,470.00","3,95,250","44,400"
"29-Jul-2022","29-Sep-2022","XX","-","3,306.70","3,338.75","3,297.40","3,325.65","3,326.60","3,325.65","1,68,750","56,01,58,470.00","56,01,58,470.00","3,95,250","44,400"
"28-Jul-2022","29-Sep-2022","XX","-","3,230.95","3,290.00","3,225.00","3,284.80","3,282.00","3,284.80","1,45,350","47,46,59,010.00","47,46,59,010.00","3,50,850","28,500"
"28-Jul-2022","29-Sep-2022","XX","-","3,230.95","3,290.00","3,225.00","3,284.80","3,282.00","3,284.80","1,45,350","47,46,59,010.00","47,46,59,010.00","3,50,850","28,500"
"27-Jul-2022","29-Sep-2022","XX","-","3,134.55","3,219.95","3,134.55","3,215.30","3,211.00","3,215.30","1,14,450","36,54,57,915.00","36,54,57,915.00","3,22,350","61,800"
"26-Jul-2022","29-Sep-2022","XX","-","3,187.85","3,187.85","3,127.00","3,141.40","3,141.15","3,141.40","84,000","26,45,19,915.00","26,45,19,915.00","2,60,550","51,450"
"25-Jul-2022","29-Sep-2022","XX","-","3,170.55","3,211.15","3,170.55","3,196.95","3,196.15","3,196.95","40,200","12,84,41,655.00","12,84,41,655.00","2,09,100","16,050"
"25-Jul-2022","29-Sep-2022","XX","-","3,170.55","3,211.15","3,170.55","3,196.95","3,196.15","3,196.95","40,200","12,84,41,655.00","12,84,41,655.00","2,09,100","16,050"
"22-Jul-2022","29-Sep-2022","XX","-","3,205.00","3,213.75","3,170.05","3,196.90","3,199.60","3,196.90","49,200","15,69,92,497.50","15,69,92,497.50","1,93,050","10,950"
"21-Jul-2022","29-Sep-2022","XX","-","3,175.00","3,204.45","3,175.00","3,197.95","3,196.70","3,197.95","39,150","12,50,02,282.50","12,50,02,282.50","1,82,100","2,400"
"20-Jul-2022","29-Sep-2022","XX","-","3,131.40","3,189.00","3,128.00","3,182.35","3,178.65","3,182.35","97,950","30,97,90,665.00","30,97,90,665.00","1,79,700","-42,900"
"19-Jul-2022","29-Sep-2022","XX","-","3,090.00","3,105.00","3,069.10","3,102.30","3,101.70","3,102.30","24,000","7,41,73,147.50","7,41,73,147.50","2,22,600","7,800"
"18-Jul-2022","29-Sep-2022","XX","-","3,058.25","3,108.95","3,045.05","3,096.10","3,096.00","3,096.10","75,750","23,38,22,895.00","23,38,22,895.00","2,14,800","600"
"15-Jul-2022","29-Sep-2022","XX","-","3,047.05","3,047.10","2,985.10","3,026.70","3,030.00","3,026.70","69,450","20,94,51,787.50","20,94,51,787.50","2,14,200","6,900"
"14-Jul-2022","29-Sep-2022","XX","-","3,070.80","3,074.00","2,999.90","3,030.70","3,030.60","3,030.70","80,850","24,51,39,877.50","24,51,39,877.50","2,07,300","36,300"
"13-Jul-2022","29-Sep-2022","XX","-","3,120.00","3,124.45","3,060.00","3,063.85","3,067.00","3,063.85","56,250","17,32,52,490.00","17,32,52,490.00","1,71,000","39,450"
"12-Jul-2022","29-Sep-2022","XX","-","3,124.40","3,150.00","3,099.75","3,102.50","3,104.00","3,102.50","57,000","17,79,06,705.00","17,79,06,705.00","1,31,550","24,600"
"11-Jul-2022","29-Sep-2022","XX","-","3,220.10","3,223.00","3,123.00","3,136.05","3,135.00","3,136.05","1,11,450","35,07,30,045.00","35,07,30,045.00","1,06,950","65,400"
"08-Jul-2022","29-Sep-2022","XX","-","3,304.65","3,312.40","3,272.55","3,289.75","3,287.00","3,289.75","29,850","9,81,41,055.00","9,81,41,055.00","41,550","12,000"
"07-Jul-2022","29-Sep-2022","XX","-","3,295.00","3,336.30","3,294.45","3,305.25","3,309.00","3,305.25","25,200","8,34,56,362.50","8,34,56,362.50","29,550","-900"
"06-Jul-2022","29-Sep-2022","XX","-","3,243.00","3,277.00","3,215.00","3,273.25","3,276.00","3,273.25","16,200","5,27,17,785.00","5,27,17,785.00","30,450","3,000"
"05-Jul-2022","29-Sep-2022","XX","-","3,272.10","3,282.00","3,222.65","3,228.10","3,231.70","3,228.10","15,900","5,17,48,132.50","5,17,48,132.50","27,450","5,700"
"04-Jul-2022","29-Sep-2022","XX","-","3,317.10","3,317.10","3,245.05","3,256.40","3,257.00","3,256.40","28,200","9,21,58,095.00","9,21,58,095.00","21,750","18,600"
