"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Dec-2023","28-Dec-2023","XX","-","3,819.90","3,840.00","3,793.15","3,801.20","3,797.55","3,799.90","40,12,400","15,32,04,90,692.50","15,32,04,90,692.50","6,14,775","-30,55,850"
"27-Dec-2023","28-Dec-2023","XX","-","3,783.15","3,837.00","3,771.10","3,813.45","3,808.65","3,813.45","27,70,775","10,51,30,09,823.75","10,51,30,09,823.75","36,70,625","-20,25,275"
"26-Dec-2023","28-Dec-2023","XX","-","3,824.30","3,844.00","3,794.05","3,803.15","3,804.65","3,803.15","39,46,250","15,04,56,42,491.25","15,04,56,42,491.25","56,95,900","-28,06,650"
"22-Dec-2023","28-Dec-2023","XX","-","3,802.15","3,861.60","3,771.35","3,841.10","3,829.00","3,841.10","45,37,575","17,32,59,29,740.00","17,32,59,29,740.00","85,02,550","-17,64,000"
"21-Dec-2023","28-Dec-2023","XX","-","3,760.05","3,820.30","3,750.25","3,803.70","3,813.05","3,803.70","21,01,925","7,98,06,82,990.00","7,98,06,82,990.00","1,02,66,550","-2,66,700"
"20-Dec-2023","28-Dec-2023","XX","-","3,842.75","3,914.55","3,782.10","3,795.35","3,790.35","3,795.35","41,77,075","16,10,82,97,773.75","16,10,82,97,773.75","1,05,33,250","3,02,750"
"19-Dec-2023","28-Dec-2023","XX","-","3,856.55","3,865.85","3,805.00","3,828.10","3,826.40","3,828.10","23,84,900","9,13,02,53,037.50","9,13,02,53,037.50","1,02,30,500","-1,65,550"
"18-Dec-2023","28-Dec-2023","XX","-","3,868.40","3,946.85","3,848.65","3,865.90","3,864.70","3,865.90","34,14,250","13,26,22,93,485.00","13,26,22,93,485.00","1,03,96,050","-5,73,300"
"15-Dec-2023","28-Dec-2023","XX","-","3,696.05","3,899.25","3,691.05","3,875.50","3,883.10","3,875.50","73,38,100","28,01,26,86,703.75","28,01,26,86,703.75","1,09,69,350","59,850"
"14-Dec-2023","28-Dec-2023","XX","-","3,655.00","3,701.05","3,641.15","3,692.20","3,695.60","3,692.20","32,54,125","11,99,44,87,986.25","11,99,44,87,986.25","1,09,09,500","1,03,250"
"13-Dec-2023","28-Dec-2023","XX","-","3,670.00","3,670.00","3,586.75","3,616.25","3,619.00","3,616.25","31,34,075","11,34,72,38,437.50","11,34,72,38,437.50","1,08,06,250","-1,53,125"
"12-Dec-2023","28-Dec-2023","XX","-","3,636.15","3,714.70","3,636.15","3,685.70","3,680.00","3,685.70","25,47,300","9,40,29,74,052.50","9,40,29,74,052.50","1,09,59,375","-3,67,325"
"11-Dec-2023","28-Dec-2023","XX","-","3,638.40","3,661.00","3,634.50","3,653.80","3,651.65","3,653.80","13,06,200","4,76,60,34,437.50","4,76,60,34,437.50","1,13,26,700","-47,075"
"08-Dec-2023","28-Dec-2023","XX","-","3,643.75","3,662.05","3,621.75","3,644.45","3,643.90","3,644.45","18,71,100","6,81,31,49,148.75","6,81,31,49,148.75","1,13,73,775","-67,200"
"07-Dec-2023","28-Dec-2023","XX","-","3,626.90","3,643.55","3,607.30","3,630.70","3,633.00","3,630.70","22,00,625","7,98,86,42,961.25","7,98,86,42,961.25","1,14,40,975","-2,00,550"
"06-Dec-2023","28-Dec-2023","XX","-","3,546.40","3,634.90","3,545.00","3,627.00","3,627.50","3,627.00","33,33,575","11,98,58,20,848.75","11,98,58,20,848.75","1,16,41,525","32,550"
"05-Dec-2023","28-Dec-2023","XX","-","3,545.60","3,548.40","3,515.05","3,543.60","3,545.05","3,543.60","14,96,250","5,28,18,90,162.50","5,28,18,90,162.50","1,16,08,975","-1,30,375"
"04-Dec-2023","28-Dec-2023","XX","-","3,547.45","3,558.05","3,525.25","3,533.60","3,536.75","3,533.60","19,32,700","6,83,99,14,392.50","6,83,99,14,392.50","1,17,39,350","-1,42,975"
"01-Dec-2023","28-Dec-2023","XX","-","3,513.95","3,532.00","3,506.15","3,528.05","3,527.70","3,528.05","15,15,850","5,33,42,01,827.50","5,33,42,01,827.50","1,18,82,325","-1,03,425"
"30-Nov-2023","28-Dec-2023","XX","-","3,531.65","3,533.15","3,508.90","3,514.25","3,513.15","3,514.25","49,62,475","17,45,62,14,860.00","17,45,62,14,860.00","1,19,85,750","24,68,900"
"29-Nov-2023","28-Dec-2023","XX","-","3,478.40","3,535.75","3,478.40","3,532.20","3,531.65","3,532.20","44,39,925","15,64,99,71,277.50","15,64,99,71,277.50","95,16,850","31,09,925"
"28-Nov-2023","28-Dec-2023","XX","-","3,481.60","3,498.70","3,458.00","3,487.30","3,497.60","3,487.30","41,72,000","14,49,48,07,608.75","14,49,48,07,608.75","64,06,925","30,33,275"
"24-Nov-2023","28-Dec-2023","XX","-","3,521.80","3,530.00","3,480.55","3,483.60","3,481.60","3,483.60","25,20,175","8,83,28,91,646.25","8,83,28,91,646.25","33,73,650","16,31,525"
"23-Nov-2023","28-Dec-2023","XX","-","3,544.75","3,561.95","3,521.55","3,527.45","3,526.00","3,527.45","9,47,450","3,35,05,93,960.00","3,35,05,93,960.00","17,42,125","5,31,825"
"22-Nov-2023","28-Dec-2023","XX","-","3,524.90","3,552.00","3,500.00","3,549.75","3,548.15","3,549.75","6,90,725","2,43,89,98,511.25","2,43,89,98,511.25","12,10,300","3,22,350"
"21-Nov-2023","28-Dec-2023","XX","-","3,547.70","3,559.00","3,526.25","3,532.30","3,531.35","3,532.30","4,35,925","1,54,58,97,622.50","1,54,58,97,622.50","8,87,950","1,66,250"
"20-Nov-2023","28-Dec-2023","XX","-","3,528.15","3,553.50","3,526.80","3,539.85","3,541.05","3,539.85","3,31,275","1,17,30,79,293.75","1,17,30,79,293.75","7,21,700","1,46,475"
"17-Nov-2023","28-Dec-2023","XX","-","3,528.00","3,544.00","3,515.55","3,528.80","3,527.60","3,528.80","2,17,175","76,71,37,210.00","76,71,37,210.00","5,75,225","18,375"
"16-Nov-2023","28-Dec-2023","XX","-","3,450.05","3,544.70","3,438.00","3,522.30","3,525.25","3,522.30","4,77,925","1,67,54,83,906.25","1,67,54,83,906.25","5,56,850","56,000"
"15-Nov-2023","28-Dec-2023","XX","-","3,387.75","3,436.10","3,387.70","3,430.45","3,433.00","3,430.45","2,10,175","71,82,71,277.50","71,82,71,277.50","5,00,850","30,100"
"13-Nov-2023","28-Dec-2023","XX","-","3,382.00","3,384.25","3,360.05","3,364.00","3,362.90","3,364.00","1,12,350","37,83,20,766.25","37,83,20,766.25","4,70,750","45,150"
"12-Nov-2023","28-Dec-2023","XX","-","3,383.50","3,385.90","3,377.35","3,383.95","3,384.10","3,383.95","20,125","6,80,78,508.75","6,80,78,508.75","4,25,600","2,100"
"10-Nov-2023","28-Dec-2023","XX","-","3,374.00","3,378.80","3,357.50","3,367.35","3,373.00","3,367.35","1,40,175","47,18,22,601.25","47,18,22,601.25","4,23,500","57,750"
"09-Nov-2023","28-Dec-2023","XX","-","3,410.00","3,421.40","3,380.55","3,384.00","3,387.95","3,384.00","95,200","32,30,93,181.25","32,30,93,181.25","3,65,750","42,525"
"08-Nov-2023","28-Dec-2023","XX","-","3,414.50","3,431.10","3,408.55","3,413.60","3,411.35","3,413.60","46,025","15,74,59,260.00","15,74,59,260.00","3,23,225","8,400"
"07-Nov-2023","28-Dec-2023","XX","-","3,414.85","3,438.10","3,403.65","3,407.85","3,408.40","3,407.85","63,350","21,67,22,450.00","21,67,22,450.00","3,14,825","13,475"
"06-Nov-2023","28-Dec-2023","XX","-","3,403.10","3,424.95","3,400.00","3,419.20","3,422.80","3,419.20","49,000","16,71,93,626.25","16,71,93,626.25","3,01,350","5,425"
"03-Nov-2023","28-Dec-2023","XX","-","3,419.70","3,420.65","3,387.00","3,389.45","3,388.60","3,389.45","56,525","19,23,16,976.25","19,23,16,976.25","2,95,925","8,925"
"02-Nov-2023","28-Dec-2023","XX","-","3,382.65","3,411.65","3,382.60","3,401.65","3,405.00","3,401.65","67,900","23,10,22,452.50","23,10,22,452.50","2,87,000","6,475"
"01-Nov-2023","28-Dec-2023","XX","-","3,395.00","3,413.00","3,354.05","3,370.70","3,354.05","3,370.70","94,675","32,04,82,181.25","32,04,82,181.25","2,80,525","41,650"
"31-Oct-2023","28-Dec-2023","XX","-","3,421.85","3,421.85","3,387.15","3,406.25","3,410.00","3,406.25","74,900","25,45,67,521.25","25,45,67,521.25","2,38,875","37,100"
"30-Oct-2023","28-Dec-2023","XX","-","3,380.50","3,421.00","3,373.60","3,415.85","3,417.00","3,415.85","51,275","17,46,87,266.25","17,46,87,266.25","2,01,775","3,500"
"27-Oct-2023","28-Dec-2023","XX","-","3,371.40","3,402.90","3,371.40","3,393.70","3,395.95","3,393.70","63,350","21,49,59,508.75","21,49,59,508.75","1,98,275","14,350"
"26-Oct-2023","28-Dec-2023","XX","-","3,407.00","3,410.20","3,361.05","3,373.80","3,361.05","3,373.80","1,02,025","34,57,10,907.50","34,57,10,907.50","1,83,925","47,775"
"25-Oct-2023","28-Dec-2023","XX","-","3,465.70","3,472.45","3,423.80","3,433.90","3,432.95","3,433.90","53,025","18,26,68,885.00","18,26,68,885.00","1,36,150","24,675"
"23-Oct-2023","28-Dec-2023","XX","-","3,525.00","3,525.00","3,451.05","3,455.35","3,451.05","3,455.35","49,175","17,15,58,345.00","17,15,58,345.00","1,11,475","21,875"
"20-Oct-2023","28-Dec-2023","XX","-","3,498.50","3,543.10","3,498.50","3,536.80","3,535.75","3,536.80","28,350","10,00,33,762.50","10,00,33,762.50","89,600","4,025"
"19-Oct-2023","28-Dec-2023","XX","-","3,528.00","3,528.00","3,506.00","3,509.15","3,508.00","3,509.15","22,400","7,87,26,917.50","7,87,26,917.50","85,575","8,750"
"18-Oct-2023","28-Dec-2023","XX","-","3,555.55","3,565.00","3,532.00","3,536.45","3,535.05","3,536.45","15,925","5,64,26,527.50","5,64,26,527.50","76,825","7,700"
"17-Oct-2023","28-Dec-2023","XX","-","3,568.00","3,576.95","3,551.75","3,555.50","3,555.25","3,555.50","21,000","7,48,54,701.25","7,48,54,701.25","69,125","7,000"
"16-Oct-2023","28-Dec-2023","XX","-","3,610.00","3,615.00","3,568.00","3,571.85","3,569.40","3,571.85","20,300","7,27,41,278.75","7,27,41,278.75","62,125","9,800"
"13-Oct-2023","28-Dec-2023","XX","-","3,575.00","3,615.60","3,575.00","3,609.45","3,608.45","3,609.45","18,725","6,74,41,526.25","6,74,41,526.25","52,325","2,975"
"12-Oct-2023","28-Dec-2023","XX","-","3,644.00","3,644.00","3,581.00","3,585.75","3,586.00","3,585.75","43,750","15,75,61,031.25","15,75,61,031.25","49,350","22,400"
"11-Oct-2023","28-Dec-2023","XX","-","3,671.50","3,685.15","3,650.00","3,656.65","3,656.60","3,656.65","15,400","5,64,90,236.25","5,64,90,236.25","26,950","4,900"
"10-Oct-2023","28-Dec-2023","XX","-","3,671.00","3,676.40","3,647.20","3,665.30","3,664.00","3,665.30","13,300","4,87,25,565.00","4,87,25,565.00","22,050","4,025"
"09-Oct-2023","28-Dec-2023","XX","-","3,692.00","3,714.00","3,650.00","3,669.50","3,667.30","3,669.50","27,300","10,06,67,682.50","10,06,67,682.50","18,025","6,650"
"06-Oct-2023","28-Dec-2023","XX","-","3,642.80","3,688.00","3,632.30","3,676.65","3,671.20","3,676.65","7,875","2,88,35,108.75","2,88,35,108.75","11,375","3,150"
"05-Oct-2023","28-Dec-2023","XX","-","3,610.00","3,674.00","3,595.75","3,642.80","3,645.85","3,642.80","9,275","3,37,45,328.75","3,37,45,328.75","8,225","4,200"
"04-Oct-2023","28-Dec-2023","XX","-","3,540.00","3,591.25","3,530.00","3,590.85","3,591.00","3,590.85","3,150","1,12,01,137.50","1,12,01,137.50","4,025","875"
"03-Oct-2023","28-Dec-2023","XX","-","3,581.00","3,581.00","3,538.00","3,549.55","3,549.55","3,549.55","3,500","1,24,27,493.75","1,24,27,493.75","3,150","1,575"
"29-Sep-2023","28-Dec-2023","XX","-","3,594.35","3,609.95","3,551.00","3,581.00","3,581.00","3,591.80","2,275","81,46,678.75","81,46,678.75","1,575","1,575"
