"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"29-Sep-2022","29-Sep-2022","XX","-","2,600.20","2,602.80","2,514.70","2,525.75","2,529.00","2,531.50","21,10,500","5,37,39,00,768.75","5,37,39,00,768.75","1,63,125","-10,61,625"
"29-Sep-2022","29-Sep-2022","XX","-","2,600.20","2,602.80","2,514.70","2,525.75","2,529.00","2,531.50","21,10,500","5,37,39,00,768.75","5,37,39,00,768.75","1,63,125","-10,61,625"
"28-Sep-2022","29-Sep-2022","XX","-","2,585.05","2,633.50","2,566.70","2,579.15","2,571.50","2,579.15","24,46,125","6,34,57,45,987.50","6,34,57,45,987.50","12,24,750","-14,02,500"
"27-Sep-2022","29-Sep-2022","XX","-","2,660.05","2,677.35","2,590.15","2,604.80","2,609.15","2,604.80","19,87,125","5,21,83,86,093.75","5,21,83,86,093.75","26,27,250","-6,69,750"
"26-Sep-2022","29-Sep-2022","XX","-","2,670.05","2,672.10","2,567.00","2,651.75","2,650.95","2,651.75","24,37,125","6,40,56,77,606.25","6,40,56,77,606.25","32,97,000","-6,48,375"
"23-Sep-2022","29-Sep-2022","XX","-","2,744.30","2,757.00","2,665.15","2,673.20","2,678.35","2,673.20","19,48,125","5,26,81,55,981.25","5,26,81,55,981.25","39,45,375","-1,59,000"
"22-Sep-2022","29-Sep-2022","XX","-","2,660.10","2,749.95","2,654.05","2,744.65","2,749.95","2,744.65","21,64,500","5,86,90,32,750.00","5,86,90,32,750.00","41,04,375","51,375"
"21-Sep-2022","29-Sep-2022","XX","-","2,680.20","2,702.10","2,660.00","2,668.10","2,667.05","2,668.10","9,40,125","2,51,78,27,493.75","2,51,78,27,493.75","40,53,000","-58,125"
"20-Sep-2022","29-Sep-2022","XX","-","2,639.95","2,696.90","2,638.85","2,685.10","2,682.00","2,685.10","13,66,500","3,66,64,12,293.75","3,66,64,12,293.75","41,11,125","-5,250"
"19-Sep-2022","29-Sep-2022","XX","-","2,619.65","2,639.90","2,563.00","2,627.60","2,628.45","2,627.60","12,49,500","3,25,88,46,112.50","3,25,88,46,112.50","41,16,375","-98,250"
"16-Sep-2022","29-Sep-2022","XX","-","2,655.00","2,683.45","2,615.30","2,622.10","2,625.50","2,622.10","19,75,125","5,21,95,17,581.25","5,21,95,17,581.25","42,14,625","1,44,750"
"15-Sep-2022","29-Sep-2022","XX","-","2,680.05","2,717.30","2,658.75","2,667.70","2,670.00","2,667.70","10,49,625","2,81,27,42,718.75","2,81,27,42,718.75","40,69,875","23,250"
"15-Sep-2022","29-Sep-2022","XX","-","2,680.05","2,717.30","2,658.75","2,667.70","2,670.00","2,667.70","10,49,625","2,81,27,42,718.75","2,81,27,42,718.75","40,69,875","23,250"
"14-Sep-2022","29-Sep-2022","XX","-","2,671.60","2,720.00","2,661.40","2,701.55","2,699.45","2,701.55","9,96,375","2,69,23,46,831.25","2,69,23,46,831.25","40,46,625","-64,875"
"13-Sep-2022","29-Sep-2022","XX","-","2,680.00","2,724.40","2,676.00","2,714.25","2,712.05","2,714.25","22,13,625","5,99,55,76,181.25","5,99,55,76,181.25","41,11,500","-79,500"
