"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Dec-2023","28-Dec-2023","XX","-","3,690.75","3,732.20","3,678.40","3,712.40","3,721.35","3,715.15","25,81,500","9,56,36,15,025.00","9,56,36,15,025.00","4,23,375","-15,23,250"
"27-Dec-2023","28-Dec-2023","XX","-","3,664.40","3,696.65","3,647.65","3,687.90","3,688.65","3,687.90","21,51,750","7,89,45,70,575.00","7,89,45,70,575.00","19,46,625","-12,07,875"
"26-Dec-2023","28-Dec-2023","XX","-","3,627.50","3,663.70","3,626.40","3,654.50","3,659.00","3,654.50","20,26,125","7,39,17,02,887.50","7,39,17,02,887.50","31,54,500","-9,39,750"
"22-Dec-2023","28-Dec-2023","XX","-","3,599.95","3,644.50","3,564.15","3,632.55","3,623.80","3,632.55","15,67,875","5,66,59,18,237.50","5,66,59,18,237.50","40,94,250","-3,03,000"
"21-Dec-2023","28-Dec-2023","XX","-","3,535.60","3,603.10","3,531.65","3,588.90","3,591.50","3,588.90","12,82,500","4,57,58,49,281.25","4,57,58,49,281.25","43,97,250","-1,46,250"
"20-Dec-2023","28-Dec-2023","XX","-","3,644.90","3,664.60","3,551.05","3,564.45","3,569.95","3,564.45","18,46,500","6,68,26,23,675.00","6,68,26,23,675.00","45,43,500","-26,250"
"19-Dec-2023","28-Dec-2023","XX","-","3,623.95","3,642.00","3,614.50","3,626.60","3,623.05","3,626.60","7,04,625","2,55,80,82,918.75","2,55,80,82,918.75","45,69,750","-30,750"
"18-Dec-2023","28-Dec-2023","XX","-","3,628.10","3,675.00","3,606.70","3,635.00","3,635.60","3,635.00","11,72,625","4,27,45,11,168.75","4,27,45,11,168.75","46,00,500","-17,250"
"15-Dec-2023","28-Dec-2023","XX","-","3,628.45","3,632.65","3,605.50","3,619.25","3,620.10","3,619.25","7,94,625","2,87,55,65,212.50","2,87,55,65,212.50","46,17,750","84,375"
"14-Dec-2023","28-Dec-2023","XX","-","3,635.00","3,638.65","3,607.55","3,615.75","3,622.60","3,615.75","8,96,625","3,24,26,81,718.75","3,24,26,81,718.75","45,33,375","-66,750"
"13-Dec-2023","28-Dec-2023","XX","-","3,586.55","3,622.70","3,577.10","3,619.05","3,620.20","3,619.05","8,58,750","3,09,42,03,806.25","3,09,42,03,806.25","46,00,125","-5,250"
"12-Dec-2023","28-Dec-2023","XX","-","3,640.00","3,654.25","3,586.25","3,593.55","3,593.00","3,593.55","11,66,250","4,20,98,58,693.75","4,20,98,58,693.75","46,05,375","-83,250"
"11-Dec-2023","28-Dec-2023","XX","-","3,645.55","3,662.95","3,617.90","3,644.55","3,645.50","3,644.55","8,64,750","3,14,93,88,075.00","3,14,93,88,075.00","46,88,625","31,500"
"08-Dec-2023","28-Dec-2023","XX","-","3,595.65","3,654.20","3,594.30","3,645.20","3,642.00","3,645.20","17,32,500","6,28,63,02,750.00","6,28,63,02,750.00","46,57,125","-51,750"
"07-Dec-2023","28-Dec-2023","XX","-","3,568.85","3,608.00","3,535.45","3,599.90","3,601.00","3,599.90","13,90,875","4,98,68,43,225.00","4,98,68,43,225.00","47,08,875","-27,750"
"06-Dec-2023","28-Dec-2023","XX","-","3,559.45","3,584.40","3,550.30","3,559.10","3,563.95","3,559.10","7,76,625","2,76,99,19,968.75","2,76,99,19,968.75","47,36,625","17,250"
"05-Dec-2023","28-Dec-2023","XX","-","3,509.70","3,570.00","3,500.00","3,557.20","3,558.10","3,557.20","12,99,000","4,60,67,28,431.25","4,60,67,28,431.25","47,19,375","-93,375"
"04-Dec-2023","28-Dec-2023","XX","-","3,549.85","3,549.90","3,503.25","3,513.95","3,512.80","3,513.95","12,11,250","4,26,23,00,418.75","4,26,23,00,418.75","48,12,750","80,625"
"01-Dec-2023","28-Dec-2023","XX","-","3,507.00","3,516.35","3,491.10","3,506.70","3,506.30","3,506.70","9,82,500","3,44,44,28,362.50","3,44,44,28,362.50","47,32,125","7,125"
"30-Nov-2023","28-Dec-2023","XX","-","3,457.15","3,516.95","3,444.75","3,509.50","3,507.00","3,509.50","27,62,250","9,62,20,72,631.25","9,62,20,72,631.25","47,25,000","9,16,125"
"29-Nov-2023","28-Dec-2023","XX","-","3,474.90","3,484.30","3,452.20","3,458.30","3,453.50","3,458.30","22,39,875","7,75,63,30,087.50","7,75,63,30,087.50","38,08,875","13,84,125"
"28-Nov-2023","28-Dec-2023","XX","-","3,454.85","3,463.50","3,410.00","3,461.00","3,463.35","3,461.00","20,50,500","7,07,89,55,006.25","7,07,89,55,006.25","24,24,750","15,16,125"
"24-Nov-2023","28-Dec-2023","XX","-","3,435.55","3,439.75","3,411.00","3,421.35","3,422.95","3,421.35","6,70,500","2,29,67,24,756.25","2,29,67,24,756.25","9,08,625","3,48,750"
"23-Nov-2023","28-Dec-2023","XX","-","3,459.95","3,461.90","3,425.40","3,437.35","3,437.40","3,437.35","3,77,250","1,29,81,63,562.50","1,29,81,63,562.50","5,59,875","1,00,500"
"22-Nov-2023","28-Dec-2023","XX","-","3,422.00","3,457.00","3,421.95","3,454.75","3,456.75","3,454.75","4,44,375","1,53,10,80,825.00","1,53,10,80,825.00","4,59,375","1,14,375"
"21-Nov-2023","28-Dec-2023","XX","-","3,390.15","3,431.75","3,381.55","3,422.55","3,422.65","3,422.55","4,08,750","1,39,59,79,593.75","1,39,59,79,593.75","3,45,000","86,250"
"20-Nov-2023","28-Dec-2023","XX","-","3,357.85","3,378.00","3,344.15","3,374.75","3,378.00","3,374.75","1,02,000","34,31,18,512.50","34,31,18,512.50","2,58,750","20,625"
"17-Nov-2023","28-Dec-2023","XX","-","3,368.50","3,389.95","3,360.00","3,369.55","3,370.00","3,369.55","1,45,875","49,22,23,668.75","49,22,23,668.75","2,38,125","21,000"
"16-Nov-2023","28-Dec-2023","XX","-","3,303.00","3,380.00","3,289.55","3,364.80","3,367.70","3,364.80","2,21,625","74,14,69,031.25","74,14,69,031.25","2,17,125","24,000"
"15-Nov-2023","28-Dec-2023","XX","-","3,301.30","3,324.60","3,296.00","3,319.50","3,318.00","3,319.50","90,750","30,05,90,700.00","30,05,90,700.00","1,93,125","-"
"13-Nov-2023","28-Dec-2023","XX","-","3,276.50","3,298.00","3,272.25","3,287.50","3,285.55","3,287.50","25,500","8,37,85,612.50","8,37,85,612.50","1,93,125","3,750"
"12-Nov-2023","28-Dec-2023","XX","-","3,288.35","3,292.00","3,284.15","3,289.85","3,286.05","3,289.85","12,375","4,07,08,331.25","4,07,08,331.25","1,89,375","750"
"10-Nov-2023","28-Dec-2023","XX","-","3,291.00","3,294.75","3,260.15","3,282.70","3,284.80","3,282.70","97,500","31,97,90,043.75","31,97,90,043.75","1,88,625","2,625"
"09-Nov-2023","28-Dec-2023","XX","-","3,345.25","3,346.90","3,310.15","3,321.45","3,322.85","3,321.45","60,750","20,22,51,581.25","20,22,51,581.25","1,86,000","18,750"
"08-Nov-2023","28-Dec-2023","XX","-","3,312.00","3,350.00","3,307.00","3,339.55","3,338.00","3,339.55","74,625","24,90,32,962.50","24,90,32,962.50","1,67,250","-14,250"
"07-Nov-2023","28-Dec-2023","XX","-","3,299.15","3,312.85","3,285.65","3,306.60","3,305.30","3,306.60","26,250","8,67,80,925.00","8,67,80,925.00","1,81,500","3,375"
"06-Nov-2023","28-Dec-2023","XX","-","3,313.80","3,321.55","3,276.55","3,294.65","3,295.70","3,294.65","83,625","27,61,48,837.50","27,61,48,837.50","1,78,125","22,500"
"03-Nov-2023","28-Dec-2023","XX","-","3,260.55","3,315.00","3,253.05","3,303.45","3,307.00","3,303.45","92,250","30,36,71,681.25","30,36,71,681.25","1,55,625","8,625"
"02-Nov-2023","28-Dec-2023","XX","-","3,229.90","3,255.00","3,217.00","3,242.35","3,246.00","3,242.35","46,500","15,05,39,775.00","15,05,39,775.00","1,47,000","-4,500"
"01-Nov-2023","28-Dec-2023","XX","-","3,229.00","3,247.85","3,211.60","3,212.70","3,213.00","3,212.70","52,875","17,05,55,700.00","17,05,55,700.00","1,51,500","8,625"
"31-Oct-2023","28-Dec-2023","XX","-","3,154.30","3,234.90","3,126.20","3,222.80","3,227.00","3,222.80","1,28,250","40,93,16,850.00","40,93,16,850.00","1,42,875","12,750"
"30-Oct-2023","28-Dec-2023","XX","-","3,141.75","3,158.35","3,113.50","3,154.30","3,158.35","3,154.30","40,875","12,84,10,987.50","12,84,10,987.50","1,30,125","5,250"
"27-Oct-2023","28-Dec-2023","XX","-","3,140.10","3,179.30","3,140.10","3,162.70","3,158.20","3,162.70","1,26,750","40,11,74,512.50","40,11,74,512.50","1,24,875","93,750"
"26-Oct-2023","28-Dec-2023","XX","-","3,212.25","3,212.25","3,131.95","3,137.35","3,137.70","3,137.35","31,875","10,10,38,406.25","10,10,38,406.25","31,125","9,000"
"25-Oct-2023","28-Dec-2023","XX","-","3,261.35","3,273.00","3,227.00","3,231.45","3,235.00","3,231.45","14,250","4,63,05,168.75","4,63,05,168.75","22,125","-750"
"23-Oct-2023","28-Dec-2023","XX","-","3,305.00","3,309.95","3,259.00","3,265.70","3,264.10","3,265.70","10,125","3,31,82,062.50","3,31,82,062.50","22,875","-1,875"
"20-Oct-2023","28-Dec-2023","XX","-","3,320.00","3,321.00","3,290.00","3,305.85","3,304.70","3,305.85","6,750","2,23,23,037.50","2,23,23,037.50","24,750","750"
"19-Oct-2023","28-Dec-2023","XX","-","3,302.00","3,342.00","3,287.35","3,329.00","3,329.00","3,329.00","16,125","5,34,23,662.50","5,34,23,662.50","24,000","-375"
"18-Oct-2023","28-Dec-2023","XX","-","3,369.80","3,369.80","3,328.00","3,330.30","3,328.00","3,330.30","5,625","1,87,85,906.25","1,87,85,906.25","24,375","1,500"
"17-Oct-2023","28-Dec-2023","XX","-","3,366.00","3,370.00","3,357.00","3,360.50","3,361.00","3,360.50","6,000","2,01,79,218.75","2,01,79,218.75","22,875","1,875"
"16-Oct-2023","28-Dec-2023","XX","-","3,336.80","3,370.15","3,336.80","3,351.30","3,352.00","3,351.30","12,375","4,15,93,650.00","4,15,93,650.00","21,000","-"
"13-Oct-2023","28-Dec-2023","XX","-","3,339.95","3,351.70","3,324.35","3,324.35","3,324.35","3,324.35","4,500","1,50,26,662.50","1,50,26,662.50","21,000","2,625"
"12-Oct-2023","28-Dec-2023","XX","-","3,340.00","3,340.00","3,320.00","3,323.20","3,323.20","3,332.10","1,125","37,43,700.00","37,43,700.00","18,375","-"
"11-Oct-2023","28-Dec-2023","XX","-","3,331.00","3,343.70","3,331.00","3,334.65","3,334.65","3,328.15","1,875","62,54,850.00","62,54,850.00","18,375","-"
"10-Oct-2023","28-Dec-2023","XX","-","3,333.00","3,333.00","3,319.90","3,319.95","3,319.90","3,319.95","4,875","1,62,11,100.00","1,62,11,100.00","18,375","1,125"
"09-Oct-2023","28-Dec-2023","XX","-","3,331.00","3,333.50","3,305.00","3,324.10","3,320.75","3,324.10","9,375","3,11,34,806.25","3,11,34,806.25","17,250","-1,125"
"06-Oct-2023","28-Dec-2023","XX","-","3,305.00","3,366.50","3,305.00","3,359.80","3,363.70","3,359.80","13,875","4,62,99,262.50","4,62,99,262.50","18,375","10,500"
"05-Oct-2023","28-Dec-2023","XX","-","3,250.00","3,284.75","3,250.00","3,267.80","3,267.75","3,267.80","7,125","2,33,05,762.50","2,33,05,762.50","7,875","3,000"
"04-Oct-2023","28-Dec-2023","XX","-","3,232.00","3,232.00","3,209.25","3,211.00","3,211.00","3,216.80","4,875","1,56,99,056.25","1,56,99,056.25","4,875","2,250"
"03-Oct-2023","28-Dec-2023","XX","-","3,216.50","3,263.60","3,215.00","3,249.70","3,251.35","3,249.70","3,000","97,29,543.75","97,29,543.75","2,625","750"
"29-Sep-2023","28-Dec-2023","XX","-","3,214.00","3,219.25","3,214.00","3,216.50","3,216.50","3,216.50","1,875","60,32,156.25","60,32,156.25","1,875","1,875"
